ladcd,ladnm,group,cluster_id,tribe_label,size,n_respondents,age,health,sex_dv,sex_dv_pct,jbstat,jbstat_pct,racel_dv,racel_dv_pct,hiqual_dv,hiqual_dv_pct,hiqual_dv_2,hiqual_dv_2_pct,marstat_dv,marstat_dv_pct,tenure_dv,tenure_dv_pct,tenure_dv_2,tenure_dv_2_pct,hhtype_dv,hhtype_dv_pct,hhtype_dv_2,hhtype_dv_2_pct,marstat_dv_2,marstat_dv_2_pct,tribe_description,racel_dv_2,racel_dv_2_pct
E06000047,County Durham,Student / training,2,Single Parents Balancing Studies and Childcare,4296,41,24.6,2.3,Male,61,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,98,GCSE etc,51,,,Never married,98,Owned with mortgage,59,,,"1 adult, 2 or more children",68,,,,,Single parents mostly in their early-to-mid 20s studying or training while raising one or more children alone across various housing tenures including social housing and private rentals.,,
E06000047,County Durham,Student / training,3,Students in Shared Multi-Adult Households,2936,34,25.6,2.1,Male,56,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,85,A-level etc,47,GCSE etc,32.0,Never married,100,Owned with mortgage,56,,,"2 adults, not a couple, 1 or more children",65,,,,,Students and trainees living in multi-adult arrangements such as two adults with a child or three or more adults without a couple often in mortgaged or rented accommodation including some older individuals and apprentices.,,
E06000047,County Durham,Unemployed,1,Older Workless Adults Without Qualifications,3453,32,64.3,3.2,Male,62,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,94,No qualification,78,,,Never married,38,Local authority rent,31,Owned outright,22.0,"1 adult under pensionable age, no children",16,"2 adults, not a couple, 1 or more children",16.0,Married/Civil partner,31.0,Adults aged 55 and over who are predominantly single divorced or widowed with no formal qualifications and often experiencing fair to poor health while living in council housing or properties they own outright,,
E06000047,County Durham,Unemployed,2,Young Single Job-Seekers Starting Out,3777,40,26.4,2.8,Male,68,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,98,GCSE etc,48,No qualification,25.0,Never married,95,Owned with mortgage,45,Local authority rent,20.0,"2 adults, not a couple, 1 or more children",30,"3 or more adults, no children, excl. any couples",18.0,,,Young people in their 20s to early 30s who are mostly single with GCSE or A-level education living in mortgaged family homes or social housing with generally good health as they search for work opportunities,,
E06000047,County Durham,Unemployed,3,Middle-Aged Parents Under Pressure,2244,28,42.5,3.2,Female,64,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,86,GCSE etc,50,,,Never married,75,Local authority rent,32,Housing association rented,29.0,"1 adult, 2 or more children",29,"1 adult, 1 child",25.0,,,Adults in their mid-30s to mid-50s who are frequently single parents raising children in council or housing association properties with mixed to poor health outcomes and limited formal qualifications,,
E09000018,Hounslow,Employed,1,Young South Asian Singles in Shared Housing,4398,27,37.7,2.4,Female,70,Employed,100,Asian: Bangladeshi,33,Degree,41,A-level etc,30.0,Never married,93,Owned with mortgage,41,Owned outright,26.0,"3 or more adults, no children, excl. any couples",85,,,,,Under-40s of Indian Pakistani or Bangladeshi heritage who are single and living in shared housing with multiple adults - many are renters or early mortgage holders with varied education levels,Asian: Indian,30.0
E09000018,Hounslow,Employed,2,Older South Asian Adults in Extended Households,2851,11,60.9,2.5,Male,73,Employed,100,Asian: Indian,73,A-level etc,45,Degree,27.0,Married/Civil partner,64,Owned outright,45,Rented private furnished,36.0,"3 or more adults, no children, excl. any couples",73,,,,,People aged 50 and over of South Asian heritage often married and living in multi-generational shared housing arrangements - typically private renters or outright homeowners,,
E09000018,Hounslow,Employed,3,South Asian Family Breadwinners with Children,2593,25,46.4,2.3,Male,80,Employed,100,Asian: Bangladeshi,44,Degree,32,No qualification,28.0,Married/Civil partner,92,Rented from employer,32,Rented private unfurnished,24.0,Couple with 3 or more children,44,Couple with 1 child,28.0,,,Married South Asian adults in their 30s to 50s actively raising children as couples - mix of self-employed and employees across council social and private housing,Asian: Pakistani,36.0
E09000018,Hounslow,Employed,4,Arab Community Workers,900,6,41.0,2.7,Male,50,Employed,100,Arab,100,Degree,33,No qualification,33.0,Never married,67,Housing association rented,67,,,"3 or more adults, no children, excl. any couples",67,,,,,Workers of Arab heritage across ages living in social housing or shared accommodation - includes both young singles and established families with children,,
E09000018,Hounslow,Employed,5,White British and Diverse Heritage Workers,1745,17,47.8,2.4,Male,53,Employed,100,White: British/English/Scottish/Welsh/N. Irish,35,Degree,35,A-level etc,24.0,Never married,82,Rented private furnished,29,Rented private unfurnished,24.0,"3 or more adults, no children, excl. any couples",65,,,,,Workers who are White British White Other Black Caribbean Black African Mixed heritage or Chinese - varied ages and household situations often single in shared or smaller households,Mixed: White and Black Caribbean,18.0
E09000018,Hounslow,Employed,6,Divorced Widowed and Separated Workers,1857,14,56.4,2.8,Female,79,Employed,100,White: British/English/Scottish/Welsh/N. Irish,29,A-level etc,36,GCSE etc,29.0,Divorced/dissolved civil partner,50,Owned with mortgage,36,Rented private unfurnished,29.0,"3 or more adults, no children, excl. any couples",71,,,,,Workers whose marriages have ended through divorce separation or widowhood regardless of ethnicity - facing housing and family transitions later in working life,Asian: Pakistani,29.0
E09000018,Hounslow,Inactive,1,Older Adults with Chronic Health Conditions,1598,28,66.6,4.5,Female,64,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,39,No qualification,71,,,Never married,43,Local authority rent,43,Housing association rented,21.0,"3 or more adults, no children, excl. any couples",32,"1 adult, 1 child",11.0,Married/Civil partner,21.0,People aged 60 and over with fair to poor health living in multi-generational or extended family households often with South Asian backgrounds and minimal formal qualifications in social or private rented housing.,Asian: Indian,11.0
E09000018,Hounslow,Inactive,2,Working-Age Residents with Serious Illness or Disability,1680,40,46.4,4.7,Female,60,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,40,No qualification,32,GCSE etc,25.0,Never married,42,Local authority rent,28,Owned with mortgage,20.0,"3 or more adults, no children, excl. any couples",30,"1 adult, 2 or more children",18.0,Married/Civil partner,22.0,Adults under 60 experiencing severe health limitations preventing work typically single and living in council or rented housing across various ethnic backgrounds with poor reported health status.,Asian: Pakistani,22.0
E09000018,Hounslow,Inactive,3,Family Carers and Healthier Inactive Residents,1545,32,41.6,2.5,Male,56,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,38,No qualification,28,Degree,22.0,Never married,50,Owned with mortgage,28,Rented private unfurnished,28.0,"2 adults, not a couple, 1 or more children",19,"3 or more adults, no children, excl. any couples",19.0,,,Inactive residents with relatively good health likely providing unpaid family care or inactive for other reasons often in households with children spanning various ages with better educational attainment.,Asian: Pakistani,22.0
E09000018,Hounslow,On leave,1,Single and Separated Mothers in Rented Housing,1483,26,40.5,2.5,Female,96,On leave,100,White: British/English/Scottish/Welsh/N. Irish,58,No qualification,31,GCSE etc,27.0,Never married,62,Rented private unfurnished,42,Local authority rent,27.0,"1 adult, 2 or more children",50,,,,,Younger to middle-aged single separated or divorced women typically with children in single-parent households often in private or social rented accommodation and ethnically diverse including White British and Black backgrounds,,
E09000018,Hounslow,On leave,2,Married South Asian Family Carers with Children,1760,46,44.2,2.7,Female,98,On leave,100,Asian: Pakistani,39,No qualification,33,GCSE etc,22.0,Married/Civil partner,100,Rented private unfurnished,24,Owned with mortgage,17.0,Couple with 3 or more children,43,Couple with 2 children,26.0,,,Married women predominantly Pakistani and Bangladeshi aged 30s to early 50s looking after families with multiple children in couple households across various housing tenures,Asian: Bangladeshi,33.0
E09000018,Hounslow,On leave,3,Older Women in Extended Households,1304,28,62.0,3.4,Female,89,On leave,100,Asian: Pakistani,39,No qualification,68,,,Married/Civil partner,71,Owned outright,36,Owned with mortgage,21.0,"3 or more adults, 1–2 children, incl. at least one couple",36,Couple with 1 child,18.0,,,Women aged 55 and over often South Asian living in multi-generational or larger households frequently with fair to poor health including both married and widowed individuals,Asian: Bangladeshi,29.0
E09000018,Hounslow,Retired,1,South Asian Elders in Multigenerational Homes,3050,54,80.1,3.6,Female,56,Retired,100,Asian: Indian,41,No qualification,65,,,Married/Civil partner,50,Owned outright,48,Owned with mortgage,26.0,"3 or more adults, 1–2 children, incl. at least one couple",28,"Couple 1 or more over pensionable age, no children",17.0,,,Indian Pakistani and Bangladeshi retirees typically living in owned homes with extended family in multi-adult households often with no formal qualifications and varying health conditions,Asian: Pakistani,41.0
E09000018,Hounslow,Retired,2,Social Housing Tenants with Health Challenges,615,11,81.1,4.0,Female,64,Retired,100,White: British/English/Scottish/Welsh/N. Irish,64,No qualification,73,,,Never married,36,Local authority rent,64,,,"3 or more adults, no children, excl. any couples",73,,,Divorced/dissolved civil partner,27.0,Retirees of diverse backgrounds renting from councils or housing associations often living alone or in smaller households and frequently reporting fair to poor health,,
E09000018,Hounslow,Retired,3,Widowed and Single White British Pensioners,1190,24,84.0,3.5,Female,62,Retired,100,White: British/English/Scottish/Welsh/N. Irish,75,No qualification,46,A-level etc,25.0,Widowed/surviving civil partner,50,Owned outright,54,,,"3 or more adults, no children, excl. any couples",67,,,,,White British pensioners who are widowed divorced or single typically owning their homes outright and often experiencing declining health in their later years,,
E09000018,Hounslow,Retired,4,Married Homeowning Couples,362,11,79.4,2.7,Male,64,Retired,100,Asian: Chinese,27,Degree,36,No qualification,36.0,Married/Civil partner,100,Owned outright,45,Owned with mortgage,18.0,"Couple 1 or more over pensionable age, no children",55,,,,,Married retirees from diverse ethnic backgrounds including Chinese and Black African owning their homes and living as couples often reporting better health outcomes,Asian: Other,27.0
E09000018,Hounslow,Student / training,1,Young Family-Based Learners,1763,36,25.0,1.9,Male,67,Student / training,100,Asian: Pakistani,36,No qualification,39,A-level etc,36.0,Never married,100,Owned with mortgage,50,,,Couple with 3 or more children,44,"3 or more adults, no children, excl. any couples",22.0,,,"Young students in their early-to-mid 20s living with parents or extended family in owned or mortgaged homes, predominantly South Asian, often without formal qualifications yet and in good health.",Asian: Indian,17.0
