ladcd,ladnm,group,cluster_id,tribe_label,size,n_respondents,age,health,sex_dv,sex_dv_pct,jbstat,jbstat_pct,racel_dv,racel_dv_pct,hiqual_dv,hiqual_dv_pct,hiqual_dv_2,hiqual_dv_2_pct,marstat_dv,marstat_dv_pct,tenure_dv,tenure_dv_pct,hhtype_dv,hhtype_dv_pct,hhtype_dv_2,hhtype_dv_2_pct,tenure_dv_2,tenure_dv_2_pct,marstat_dv_2,marstat_dv_2_pct,racel_dv_2,racel_dv_2_pct,tribe_description
E06000009,Blackpool,On leave,1,Older Multi-ethnic No-qualification Women,792,93,57.6,3.3,Female,95,On leave,100,White: British/English/Scottish/Welsh/N. Irish,40,No qualification,98,,,Married/Civil partner,80,Owned outright,33,"3 or more adults, 1–2 children, incl. at least one couple",19,"3 or more adults, no children, incl. at least one couple",18.0,Owned with mortgage,28.0,,,Asian: Pakistani,30.0,"This cluster consists primarily of older, married women with very low educational attainment, often living in multi-generational households. It is distinctive for its significant representation of both White British and Asian Pakistani individuals."
E06000009,Blackpool,On leave,2,Educated White Mortgage-holding Mothers,1078,332,48.0,2.2,Female,97,On leave,100,White: British/English/Scottish/Welsh/N. Irish,83,Degree,39,A-level etc,24.0,Married/Civil partner,80,Owned with mortgage,64,Couple with 2 children,34,Couple with 1 child,23.0,,,,,,,"This cluster is characterized by middle-aged, highly educated White British women in very good health, predominantly married homeowners with mortgages. They typically live in nuclear family households with one or two children."
E06000009,Blackpool,On leave,3,Older White Multi-generational Women,632,173,57.1,3.7,Female,85,On leave,100,White: British/English/Scottish/Welsh/N. Irish,81,GCSE etc,39,A-level etc,23.0,Married/Civil partner,63,Owned with mortgage,35,"3 or more adults, no children, incl. at least one couple",24,"3 or more adults, 1–2 children, incl. at least one couple",16.0,Owned outright,34.0,,,,,"This cluster comprises older, predominantly White British women in fair health, with mid-level qualifications. They are often married and live in multi-generational households, with a mix of outright and mortgaged homeownership."
E06000009,Blackpool,On leave,4,Young Single Renter Mothers,912,45,40.5,3.2,Female,98,On leave,100,White: British/English/Scottish/Welsh/N. Irish,84,GCSE etc,49,Degree,16.0,Never married,80,Rented private unfurnished,40,"1 adult, 2 or more children",64,,,Local authority rent,36.0,,,,,"This cluster is defined by younger middle-aged, never-married White British women who are predominantly single mothers with two or more children. They are largely renters, split between private unfurnished and local authority housing."
E06000009,Blackpool,On leave,5,Married White Private Renters,722,96,44.4,2.8,Female,93,On leave,100,White: British/English/Scottish/Welsh/N. Irish,76,GCSE etc,38,A-level etc,28.0,Married/Civil partner,70,Rented private unfurnished,62,Couple with 1 child,24,Couple with 3 or more children,23.0,,,,,,,"This cluster consists of middle-aged, married White British women with mid-level qualifications, who are primarily private renters. They typically live in couple households with one or three or more children."
E06000009,Blackpool,Retired,1,Elderly Unqualified Female Homeowners,9411,933,83.6,3.3,Female,63,Retired,100,White: British/English/Scottish/Welsh/N. Irish,95,No qualification,100,,,Married/Civil partner,54,Owned outright,80,"Couple 1 or more over pensionable age, no children",58,,,,,,,,,"This is the largest and oldest cluster, primarily composed of white British women in good health who own their homes outright. Notably, 100% of this group has no formal qualifications."
E06000009,Blackpool,Retired,2,Educated Male Homeowning Couples,5554,1894,79.0,2.9,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,97,A-level etc,27,Degree,25.0,Married/Civil partner,72,Owned outright,88,"Couple 1 or more over pensionable age, no children",58,,,,,,,,,"This cluster consists entirely of white British men, predominantly married and owning their homes outright. They stand out for having the highest levels of education among the retired groups, with many holding degrees or A-levels."
E06000009,Blackpool,Retired,3,Renting Single Women Fair Health,3882,377,81.3,3.7,Female,55,Retired,100,White: British/English/Scottish/Welsh/N. Irish,94,No qualification,42,GCSE etc,19.0,Married/Civil partner,29,Rented private unfurnished,46,"1 female, age 60+, no children",36,"Couple 1 or more over pensionable age, no children",27.0,Housing association rented,35.0,Widowed/surviving civil partner,28.0,,,"This cluster is characterized by its members primarily renting their homes, either privately or through housing associations, and reporting fair health. It includes a significant proportion of single white British women, many with no formal qualifications."
E06000009,Blackpool,Retired,4,Younger Female Homeowners,5247,2049,78.8,2.9,Female,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,95,GCSE etc,31,Other qualification,19.0,Married/Civil partner,54,Owned outright,87,"Couple 1 or more over pensionable age, no children",46,"1 female, age 60+, no children",37.0,,,,,,,"Comprising entirely of white British women, this is the youngest retired cluster with good health and a very high rate of outright home ownership. Households are a mix of couples and single females."
E06000009,Blackpool,Retired,5,Multi-Adult Widowed Households,3723,231,82.3,3.7,Female,69,Retired,100,White: British/English/Scottish/Welsh/N. Irish,84,No qualification,83,,,Married/Civil partner,42,Owned outright,59,"3 or more adults, no children, incl. at least one couple",45,"2 adults, not a couple, one or more over pensionable age, no children",33.0,,,Widowed/surviving civil partner,38.0,,,"This smallest cluster features a high proportion of widowed individuals and distinctive multi-adult households, often including more than two adults or non-couple arrangements. Members are predominantly white British women with no qualifications and report fair health."
E06000009,Blackpool,Student / training,1,Young Female Family Renters,353,83,26.4,2.1,Female,61,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,65,A-level etc,43,GCSE etc,42.0,Never married,95,Rented private unfurnished,47,"3 or more adults, 1–2 children, incl. at least one couple",23,"3 or more adults, no children, incl. at least one couple",18.0,Housing association rented,19.0,,,,,"This cluster consists primarily of young, never-married women, many of whom are White British. They predominantly rent private unfurnished or housing association properties and live in larger households, often with children and other adults."
E06000009,Blackpool,Student / training,2,Male Family Homeowners,1201,318,26.3,2.1,Male,100,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,85,A-level etc,49,GCSE etc,42.0,Never married,97,Owned with mortgage,66,"3 or more adults, 1–2 children, incl. at least one couple",24,Couple with 2 children,19.0,,,,,,,"This group is exclusively male, mostly White British, and never married. They are distinctive for being homeowners with mortgages, often living in larger households that include couples and children."
E06000009,Blackpool,Student / training,3,Young Unqualified Homeowners,1424,85,24.7,2.2,Male,59,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,67,No qualification,100,,,Never married,96,Owned with mortgage,47,"3 or more adults, 1–2 children, incl. at least one couple",24,Couple with 2 children,18.0,Owned outright,20.0,,,,,"This is the youngest cluster, characterized by having no formal qualifications. They are predominantly homeowners, including a significant proportion who own outright, and live in larger households often with children."
E06000009,Blackpool,Student / training,4,Older Single Degree Renters,614,91,29.8,2.7,Female,56,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,78,A-level etc,44,Degree,24.0,Never married,84,Rented private furnished,53,"1 adult under pensionable age, no children",55,,,,,,,,,This cluster has the oldest average age and the highest proportion of degree holders. They are predominantly single adults renting private furnished accommodation and report slightly lower health compared to other student groups.
E06000009,Blackpool,Student / training,5,Female Family Homeowners,1083,339,26.7,2.4,Female,100,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,83,A-level etc,45,GCSE etc,42.0,Never married,94,Owned with mortgage,65,"3 or more adults, 1–2 children, incl. at least one couple",25,"3 or more adults, no children, incl. at least one couple",16.0,,,,,,,"This cluster is exclusively female, mostly White British, and never married. Like their male counterparts, they are predominantly homeowners with mortgages and live in larger households that often include couples and children."
E06000009,Blackpool,Unemployed,1,Young Male Private Renters,1142,90,41.3,2.7,Male,73,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,61,GCSE etc,36,A-level etc,26.0,Never married,54,Rented private unfurnished,51,"3 or more adults, 1–2 children, incl. at least one couple",21,"1 adult under pensionable age, no children",18.0,,,,,,,"This cluster consists predominantly of younger, never-married men in good health who primarily rent privately. Many live in larger households with other adults and children, or as single adults."
E06000009,Blackpool,Unemployed,2,"Older Married Men, Low Education",1056,96,63.7,3.8,Male,72,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,79,No qualification,45,GCSE etc,23.0,Married/Civil partner,56,Owned outright,31,"Couple both under pensionable age, no children",24,"1 adult under pensionable age, no children",20.0,Local authority rent,31.0,,,,,"This is the oldest cluster, characterized by predominantly married men with fair health and the highest proportion of no qualifications. They tend to live as couples or single older adults, with a mix of outright homeownership and local authority renting."
E06000009,Blackpool,Unemployed,3,Single Female Social Renters,1404,134,48.3,3.3,Female,78,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,80,GCSE etc,40,A-level etc,25.0,Never married,62,Local authority rent,25,"1 adult under pensionable age, no children",49,"1 adult, 1 child",14.0,Housing association rented,25.0,,,,,"This cluster is primarily composed of middle-aged, never-married women who are social renters. Nearly half live as single adults without children, while others are single parents."
E06000009,Blackpool,Unemployed,4,Unqualified Female Multi-Adult Households,1021,59,47.1,3.1,Female,71,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,68,No qualification,97,,,Never married,58,Local authority rent,34,"3 or more adults, no children, incl. at least one couple",19,"3 or more adults, 1–2 children, incl. at least one couple",17.0,Owned with mortgage,31.0,,,,,"This cluster is characterized by middle-aged women with an extremely high proportion of no formal qualifications. They often live in larger multi-adult households, with a mix of social renting and homeownership with a mortgage."
E06000009,Blackpool,Unemployed,5,Young Male Homeowners,1803,360,40.2,2.9,Male,61,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,79,GCSE etc,34,A-level etc,30.0,Never married,63,Owned with mortgage,48,"3 or more adults, no children, incl. at least one couple",21,"3 or more adults, 1–2 children, incl. at least one couple",16.0,Owned outright,26.0,,,,,"This is the largest and youngest cluster, primarily composed of never-married men in good health. They are overwhelmingly homeowners, either with a mortgage or outright, and often live in larger multi-adult households."
E06000047,County Durham,Employed,1,Older Unqualified Homeowners,19751,326,60.2,2.7,Male,52,Employed,100,White: British/English/Scottish/Welsh/N. Irish,72,No qualification,100,,,Married/Civil partner,62,Owned outright,33,"3 or more adults, no children, incl. at least one couple",20,"Couple 1 or more over pensionable age, no children",18.0,Owned with mortgage,33.0,,,,,"This cluster represents the oldest employed group, characterized by having no formal qualifications. They are predominantly married homeowners, often living in multi-adult households or as older couples."
E06000047,County Durham,Employed,2,Educated Male Mortgage Holders,75081,4965,55.3,2.6,Male,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,83,Degree,39,A-level etc,23.0,Married/Civil partner,79,Owned with mortgage,66,Couple with 2 children,21,"Couple both under pensionable age, no children",20.0,,,,,,,"This is the largest cluster, uniquely composed entirely of employed men. They are highly educated, mostly married homeowners with mortgages, often living as couples with children or as younger couples without children."
E06000047,County Durham,Employed,3,Young Single Educated Homeowners,39451,2585,40.2,2.5,Female,56,Employed,100,White: British/English/Scottish/Welsh/N. Irish,73,Degree,35,A-level etc,32.0,Never married,93,Owned with mortgage,49,"3 or more adults, no children, incl. at least one couple",28,"1 adult under pensionable age, no children",23.0,Owned outright,31.0,,,,,"This cluster represents the youngest employed group, predominantly female and highly educated. They are overwhelmingly never married, often living as single adults or in multi-adult households without children, and are mostly homeowners."
E06000047,County Durham,Employed,4,Educated Private Renters,28995,1892,45.4,2.7,Female,54,Employed,100,White: British/English/Scottish/Welsh/N. Irish,74,Degree,39,A-level etc,23.0,Never married,33,Rented private unfurnished,57,"1 adult under pensionable age, no children",26,"Couple both under pensionable age, no children",20.0,,,Married/Civil partner,31.0,,,"This cluster is characterized by a high proportion of private renters, often educated and in their mid-forties. They frequently live as single adults or as younger couples without children, with a mixed marital status."
E06000047,County Durham,Employed,5,Educated Female Mortgage Holders,59219,5246,54.9,2.6,Female,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,85,Degree,41,A-level etc,19.0,Married/Civil partner,73,Owned with mortgage,63,"Couple both under pensionable age, no children",20,Couple with 2 children,19.0,,,,,,,"This cluster is composed entirely of employed women, who are highly educated and predominantly married homeowners with mortgages. They often live as couples with children or as younger couples without children."
E06000047,County Durham,Inactive,1,Younger Educated Homeowners,3584,177,47.4,2.8,Female,59,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,73,Degree,28,GCSE etc,27.0,Never married,45,Owned outright,37,"3 or more adults, no children, incl. at least one couple",14,"3 or more adults, 1–2 children, incl. at least one couple",13.0,Owned with mortgage,33.0,Married/Civil partner,38.0,,,"This cluster represents the youngest and healthiest inactive individuals, often well-educated with degrees. They are predominantly homeowners, living in multi-adult households, sometimes with children."
E06000047,County Durham,Inactive,2,Older Unqualified Female Renters,7356,109,62.1,4.5,Female,100,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,85,No qualification,100,,,Never married,32,Local authority rent,46,"1 adult under pensionable age, no children",18,"1 female, age 60+, no children",17.0,Housing association rented,21.0,Married/Civil partner,27.0,,,This cluster consists entirely of older inactive women with no formal qualifications and fair health. They predominantly live alone in socially rented accommodation.
E06000047,County Durham,Inactive,3,Mid-life Social Renters,10034,670,56.8,4.4,Female,61,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,84,GCSE etc,33,A-level etc,25.0,Married/Civil partner,36,Local authority rent,26,"1 adult under pensionable age, no children",21,"Couple both under pensionable age, no children",13.0,Housing association rented,22.0,Never married,30.0,,,"This is the largest cluster of inactive individuals, typically middle-aged to older with fair health and some mid-level qualifications. They often live in socially rented housing, either alone or as couples, generally under pensionable age."
E06000047,County Durham,Inactive,4,Older Unqualified Male Renters,5832,69,57.8,4.3,Male,100,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,86,No qualification,100,,,Never married,43,Local authority rent,33,"1 adult under pensionable age, no children",30,"3 or more adults, no children, incl. at least one couple",20.0,Housing association rented,25.0,Married/Civil partner,30.0,,,"This cluster comprises exclusively older inactive men with no formal qualifications and fair health. They predominantly live in socially rented accommodation, often as single adults or in multi-adult households."
E06000047,County Durham,Inactive,5,Older Non-White Renters,156,9,55.8,4.3,Female,56,Inactive,100,Other ethnic group,100,Other higher degree,22,A-level etc,22.0,Never married,56,Housing association rented,67,"1 adult under pensionable age, no children",44,"1 female, age 60+, no children",22.0,,,,,,,"This very small cluster consists of older inactive individuals from other ethnic groups, predominantly renting from housing associations. They often live alone and have fair health, with some having higher education."
E06000047,County Durham,On leave,1,Cluster 1,3680,160,42.2,2.9,Female,98,On leave,100,White: British/English/Scottish/Welsh/N. Irish,64,GCSE etc,31,A-level etc,28.0,Married/Civil partner,38,Rented private unfurnished,49,"1 adult, 2 or more children",26,Couple with 1 child,14.0,Local authority rent,19.0,Never married,38.0,,,
E06000047,County Durham,On leave,2,Cluster 2,5324,478,46.4,2.2,Female,97,On leave,100,White: British/English/Scottish/Welsh/N. Irish,68,Degree,40,A-level etc,23.0,Married/Civil partner,82,Owned with mortgage,57,Couple with 2 children,31,Couple with 1 child,19.0,,,,,,,
E06000047,County Durham,On leave,3,Cluster 3,1931,19,47.2,3.6,Female,100,On leave,100,White: British/English/Scottish/Welsh/N. Irish,58,No qualification,100,,,Never married,37,Local authority rent,47,"1 adult, 2 or more children",21,"2 adults, not a couple, 1 or more children",16.0,Housing association rented,21.0,Married/Civil partner,16.0,,,
E06000047,County Durham,On leave,4,Cluster 4,1875,95,58.4,3.2,Female,95,On leave,100,Asian: Pakistani,29,No qualification,95,,,Married/Civil partner,94,Owned outright,37,"3 or more adults, 1–2 children, incl. at least one couple",25,"3 or more adults, no children, incl. at least one couple",21.0,Owned with mortgage,32.0,,,White: British/English/Scottish/Welsh/N. Irish,28.0,
E06000047,County Durham,On leave,5,Cluster 5,3235,299,58.5,3.8,Female,86,On leave,100,White: British/English/Scottish/Welsh/N. Irish,72,GCSE etc,37,Other qualification,21.0,Married/Civil partner,76,Owned with mortgage,33,"3 or more adults, no children, incl. at least one couple",24,"3 or more adults, 1–2 children, incl. at least one couple",13.0,Owned outright,32.0,,,,,
E06000047,County Durham,Retired,1,Cluster 1,14611,513,82.0,3.8,Female,61,Retired,100,White: British/English/Scottish/Welsh/N. Irish,91,No qualification,53,,,Widowed/surviving civil partner,35,Housing association rented,35,"1 female, age 60+, no children",47,"1 male, aged 65+, no children",25.0,Rented private unfurnished,27.0,Divorced/dissolved civil partner,26.0,,,
E06000047,County Durham,Retired,2,Cluster 2,21264,2919,78.4,2.9,Female,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,93,GCSE etc,25,Degree,23.0,Married/Civil partner,60,Owned outright,86,"Couple 1 or more over pensionable age, no children",54,,,,,,,,,
E06000047,County Durham,Retired,3,Cluster 3,29414,832,83.7,3.2,Female,62,Retired,100,White: British/English/Scottish/Welsh/N. Irish,94,No qualification,100,,,Married/Civil partner,61,Owned outright,91,"Couple 1 or more over pensionable age, no children",65,,,,,,,,,
E06000047,County Durham,Retired,4,Cluster 4,11855,267,82.0,3.8,Female,71,Retired,100,White: British/English/Scottish/Welsh/N. Irish,78,No qualification,78,,,Widowed/surviving civil partner,40,Owned outright,55,"3 or more adults, no children, incl. at least one couple",45,"2 adults, not a couple, one or more over pensionable age, no children",31.0,,,Married/Civil partner,40.0,,,
E06000047,County Durham,Retired,5,Cluster 5,23140,2669,79.0,2.9,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,93,Degree,32,A-level etc,23.0,Married/Civil partner,76,Owned outright,86,"Couple 1 or more over pensionable age, no children",64,,,,,,,,,
E06000047,County Durham,Student / training,1,Cluster 1,2942,201,29.0,2.4,Female,56,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,63,A-level etc,45,GCSE etc,27.0,Never married,88,Rented private unfurnished,44,"1 adult under pensionable age, no children",27,"3 or more adults, 1–2 children, incl. at least one couple",13.0,Rented private furnished,35.0,,,,,
E06000047,County Durham,Student / training,2,Cluster 2,6846,695,27.3,2.4,Female,100,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,64,A-level etc,49,GCSE etc,34.0,Never married,93,Owned with mortgage,56,"3 or more adults, 1–2 children, incl. at least one couple",33,"3 or more adults, no children, incl. at least one couple",19.0,,,,,,,
E06000047,County Durham,Student / training,3,Cluster 3,7420,517,26.4,2.1,Male,100,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,67,A-level etc,47,GCSE etc,39.0,Never married,97,Owned with mortgage,58,"3 or more adults, 1–2 children, incl. at least one couple",29,"3 or more adults, no children, incl. at least one couple",18.0,,,,,,,
E06000047,County Durham,Student / training,4,Cluster 4,1553,15,27.6,2.4,Male,67,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,53,No qualification,100,,,Never married,87,Rented private unfurnished,33,"1 adult, 2 or more children",40,Couple with 3 or more children,27.0,Local authority rent,20.0,,,,,
E06000047,County Durham,Student / training,5,Cluster 5,4772,80,24.4,2.2,Male,52,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,64,No qualification,100,,,Never married,98,Owned with mortgage,51,"3 or more adults, 1–2 children, incl. at least one couple",24,Couple with 2 children,19.0,,,,,,,
E06000047,County Durham,Unemployed,1,Cluster 1,4180,189,46.5,3.2,Female,60,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,75,GCSE etc,32,A-level etc,28.0,Never married,79,Local authority rent,26,"1 adult under pensionable age, no children",59,,,Housing association rented,21.0,,,,,
E06000047,County Durham,Unemployed,2,Cluster 2,3206,360,53.5,3.1,Female,51,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,59,GCSE etc,29,Degree,26.0,Married/Civil partner,71,Owned with mortgage,39,"Couple both under pensionable age, no children",21,Couple with 2 children,14.0,Owned outright,20.0,,,,,
E06000047,County Durham,Unemployed,3,Cluster 3,5252,339,33.5,2.8,Male,63,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,62,GCSE etc,35,A-level etc,29.0,Never married,96,Owned with mortgage,34,"3 or more adults, no children, incl. at least one couple",26,"3 or more adults, 1–2 children, incl. at least one couple",22.0,Owned outright,24.0,,,,,
E06000047,County Durham,Unemployed,4,Cluster 4,4348,73,48.9,2.8,Female,62,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,66,No qualification,100,,,Never married,44,Owned with mortgage,30,"3 or more adults, no children, incl. at least one couple",19,Couple with 2 children,16.0,Local authority rent,30.0,Married/Civil partner,32.0,,,
E06000047,County Durham,Unemployed,5,Cluster 5,2089,38,64.7,4.1,Male,63,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,71,No qualification,89,,,Never married,34,Local authority rent,42,"1 adult under pensionable age, no children",29,"1 female, age 60+, no children",18.0,Owned outright,34.0,Married/Civil partner,29.0,,,
E09000018,Hounslow,Employed,1,Cluster 1,27797,5390,54.3,2.5,Female,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,81,Degree,41,A-level etc,19.0,Married/Civil partner,66,Owned with mortgage,61,Couple with 2 children,18,"Couple both under pensionable age, no children",16.0,,,,,,,
E09000018,Hounslow,Employed,2,Cluster 2,31652,1846,45.6,2.6,Female,51,Employed,100,White: British/English/Scottish/Welsh/N. Irish,73,Degree,39,A-level etc,22.0,Married/Civil partner,35,Rented private unfurnished,60,"1 adult under pensionable age, no children",25,"Couple both under pensionable age, no children",21.0,,,Never married,31.0,,,
E09000018,Hounslow,Employed,3,Cluster 3,1585,56,49.9,2.5,Female,57,Employed,100,Other ethnic group,100,Degree,48,Other higher degree,18.0,Married/Civil partner,55,Owned with mortgage,48,"Couple both under pensionable age, no children",16,Couple with 2 children,16.0,Local authority rent,16.0,,,,,
E09000018,Hounslow,Employed,4,Cluster 4,21003,1726,37.0,2.5,Female,56,Employed,100,White: British/English/Scottish/Welsh/N. Irish,67,A-level etc,35,Degree,30.0,Never married,92,Owned with mortgage,45,"3 or more adults, no children, incl. at least one couple",35,"3 or more adults, 1–2 children, incl. at least one couple",18.0,Owned outright,31.0,,,,,
E09000018,Hounslow,Employed,5,Cluster 5,39975,5208,55.2,2.6,Male,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,81,Degree,38,A-level etc,22.0,Married/Civil partner,75,Owned with mortgage,65,Couple with 2 children,20,"Couple both under pensionable age, no children",18.0,,,,,,,
E09000018,Hounslow,Inactive,1,Cluster 1,2705,425,59.4,4.5,Female,60,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,86,GCSE etc,28,A-level etc,19.0,Never married,31,Local authority rent,32,"1 adult under pensionable age, no children",42,"Couple both under pensionable age, no children",18.0,Housing association rented,27.0,Married/Civil partner,29.0,,,
E09000018,Hounslow,Inactive,2,Cluster 2,1953,168,47.3,2.8,Female,58,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,71,Degree,29,GCSE etc,27.0,Never married,44,Owned outright,36,"3 or more adults, 1–2 children, incl. at least one couple",13,"3 or more adults, no children, incl. at least one couple",12.0,Owned with mortgage,32.0,Married/Civil partner,39.0,,,
E09000018,Hounslow,Inactive,3,Cluster 3,2146,96,57.4,4.4,Female,60,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,82,No qualification,100,,,Never married,39,Local authority rent,40,"3 or more adults, no children, incl. at least one couple",25,"2 adults, not a couple, one or more over pensionable age, no children",14.0,Owned outright,22.0,Married/Civil partner,35.0,,,
