ladcd,ladnm,group,cluster_id,tribe_label,size,n_respondents,age,health,sex_dv,sex_dv_pct,jbstat,jbstat_pct,racel_dv,racel_dv_pct,hiqual_dv,hiqual_dv_pct,marstat_dv,marstat_dv_pct,tenure_dv,tenure_dv_pct,hhtype_dv,hhtype_dv_pct
E09000018,Hounslow,8.0,5,Young Adults in Transition,166,4,31.0,1.5,Male,100,Inactive,100,Pakistani / Bangladeshi,75,A-level etc,50,Never married,75,Owner-occupied,50,"1 adult, no children",25
E09000019,Islington,3.0,1,Unemployed Multi-Adult Households,9701,356,43.4,3.0,Male,58,Unemployed,100,White,61,GCSE etc,25,Never married,65,Rented,76,"1 adult, no children",24
E09000019,Islington,3.0,2,Single Parents in Social Housing,1088,20,39.0,2.8,Female,65,Unemployed,100,White,45,GCSE etc,35,Never married,80,Rented,95,"1 adult, 1 child",50
E09000019,Islington,3.0,3,Young Unemployed Singles,124,2,37.0,3.0,Male,100,Unemployed,100,White,50,Degree,50,Never married,100,Rented,50,"1 adult, no children",100
E09000019,Islington,3.0,4,Older Adults in Shared Housing,121,2,43.5,4.0,Male,100,Unemployed,100,White,100,Degree,50,Never married,100,Rented,100,"2 adults (not a couple), no children",100
E09000019,Islington,3.0,5,Unemployed Couples and Families,175,4,48.8,2.8,Male,75,Unemployed,100,White,100,No qualification,100,Married/Civil partner,50,Rented,100,"Couple, 1 child",25
E09000019,Islington,5.0,1,Single Mothers in Social Housing,6587,386,43.8,2.8,Female,94,On leave,100,White,62,Degree,23,Married/Civil partner,56,Rented,68,"Couple, 1 child",18
E09000019,Islington,5.0,4,Older Adults in Shared Housing,287,7,58.0,2.6,Female,71,On leave,100,White,86,No qualification,43,Divorced/dissolved civil partner,29,Rented,86,"3+ adults (no couple), no children",43
E09000019,Islington,5.0,5,Private Renters with Children,535,11,37.5,2.5,Female,91,On leave,100,White,100,A-level etc,27,Never married,73,Rented,100,"1 adult, 1 child",36
E09000019,Islington,7.0,1,Young Diverse Students in Shared Housing,10206,608,27.2,2.3,Female,54,Student / training,100,White,60,A-level etc,38,Never married,93,Rented,51,"3+ adults (incl. couple), 1–2 children",18
E09000019,Islington,7.0,2,Single Parents in Social Housing,3989,70,27.8,2.3,Male,51,Student / training,100,White,53,No qualification,29,Never married,99,Rented,83,"1 adult, 2+ children",39
E09000019,Islington,7.0,3,Young Professionals in Private Rentals,392,10,29.8,2.4,Female,70,Student / training,100,White,70,A-level etc,60,Never married,100,Rented,100,"1 adult, no children",70
E09000019,Islington,7.0,4,Mature Students in Stable Housing,130,2,44.5,4.0,Male,50,Student / training,100,White,100,A-level etc,50,Not provided,50,Owner-occupied,50,"1 adult, 2+ children",50
E09000019,Islington,7.0,5,Apprentices and Trainees in Transition,328,3,26.0,1.7,Male,100,Student / training,100,White,100,A-level etc,33,Never married,100,Rented,100,"3+ adults (no couple), no children",67
E09000019,Islington,8.0,1,Disabled Multi-Adult Households,9534,346,51.6,4.2,Female,53,Inactive,100,White,79,No qualification,35,Never married,56,Rented,86,"1 adult, no children",34
E09000019,Islington,8.0,2,Single Parents with Poor Health,956,12,40.4,4.0,Female,67,Inactive,100,White,50,No qualification,50,Never married,58,Rented,100,"1 adult, 2+ children",42
E09000019,Islington,8.0,3,Elderly and Disabled in Social Housing,513,10,58.2,4.3,Male,80,Inactive,100,White,60,No qualification,80,Never married,90,Rented,100,"1 adult, no children",70
E09000019,Islington,8.0,4,Young Adults in Shared Housing,72,1,45.0,3.0,Male,100,Inactive,100,Pakistani / Bangladeshi,100,Degree,100,Divorced/dissolved civil partner,100,Owner-occupied,100,"3+ adults (no couple), no children",100
E09000019,Islington,8.0,5,Middle-Aged Disabled Homeowners,52,1,38.0,4.0,Male,100,Inactive,100,White,100,No qualification,100,Living as couple,100,Rented,100,"Couple, 3+ children",100
E09000025,Newham,3.0,1,Unemployed Multi-Adult Households,9490,155,46.5,3.0,Male,61,Unemployed,100,White,32,GCSE etc,26,Never married,52,Rented,70,"3+ adults (no couple), no children",23
E09000025,Newham,3.0,2,Single Parents and Small Families,3138,39,43.8,3.0,Female,62,Unemployed,100,Pakistani / Bangladeshi,31,A-level etc,41,Never married,59,Rented,79,"1 adult, 1 child",23
E09000025,Newham,3.0,3,Elderly and Widowed,767,15,48.8,3.2,Male,60,Unemployed,100,Pakistani / Bangladeshi,60,GCSE etc,47,Never married,47,Rented,60,"3+ adults (incl. couple), 1–2 children",40
E09000025,Newham,3.0,4,Young Adults in Shared Housing,220,2,37.0,4.0,Male,100,Unemployed,100,Pakistani / Bangladeshi,50,GCSE etc,50,Never married,100,Rented,50,"1 adult, no children",100
E09000025,Newham,3.0,5,Large Families with Children,2815,20,51.3,2.5,Male,65,Unemployed,100,Pakistani / Bangladeshi,60,A-level etc,40,Married/Civil partner,65,Rented,70,"3+ adults (incl. couple), 1–2 children",40
E09000025,Newham,4.0,1,Elderly Multigenerational Homeowners,12754,1695,81.5,3.2,Female,54,Retired,100,White,82,No qualification,51,Married/Civil partner,45,Owner-occupied,62,"1 adult, no children",44
E09000025,Newham,4.0,2,Retired Singles in Rented Accommodation,3763,64,80.5,3.5,Female,55,Retired,100,White,22,No qualification,59,Widowed/surviving civil partner,30,Rented,52,"1 adult, no children",31
E09000025,Newham,4.0,3,Widowed Seniors in Family Households,1514,23,79.4,3.8,Female,70,Retired,100,Pakistani / Bangladeshi,48,No qualification,91,Widowed/surviving civil partner,52,Owner-occupied,61,"3+ adults (incl. couple), 1–2 children",39
E09000025,Newham,4.0,4,Retired Couples with No Children,498,6,82.5,3.7,Male,50,Retired,100,Pakistani / Bangladeshi,83,No qualification,50,Married/Civil partner,83,Rented,83,"Couple, no children",67
E09000025,Newham,5.0,1,South Asian Family Caregivers,11735,271,47.2,2.8,Female,94,On leave,100,Pakistani / Bangladeshi,54,A-level etc,23,Married/Civil partner,75,Rented,55,"Couple, 3+ children",20
E09000025,Newham,5.0,2,Black and Mixed Ethnicity Single Mothers,1486,11,42.4,3.0,Female,100,On leave,100,African,55,Other higher degree,27,Never married,55,Rented,100,"1 adult, 2+ children",55
E09000025,Newham,5.0,3,Older South Asian Homeowners,352,4,68.0,3.2,Female,100,On leave,100,Pakistani / Bangladeshi,75,No qualification,100,Married/Civil partner,100,Owner-occupied,100,"3+ adults (incl. couple), 1–2 children",50
E09000025,Newham,5.0,5,Elderly and Separated Individuals in Shared Housing,326,4,48.0,3.2,Female,100,On leave,100,White,50,A-level etc,50,Never married,75,Rented,75,"3+ adults (no couple), no children",50
E09000025,Newham,7.0,1,Young Diverse Student Families,9270,315,26.7,2.2,Male,52,Student / training,100,Pakistani / Bangladeshi,37,A-level etc,46,Never married,97,Owner-occupied,53,"3+ adults (incl. couple), 1–2 children",30
E09000025,Newham,7.0,2,Mature Students in Shared Housing,331,2,62.0,2.5,Male,50,Student / training,100,Caribbean,50,Other higher degree,50,Married/Civil partner,50,Owner-occupied,50,"3+ adults (incl. couple), 1–2 children",50
E09000025,Newham,7.0,3,Single Parents in Rented Housing,2390,18,30.9,2.5,Male,50,Student / training,100,African,39,No qualification,39,Never married,89,Rented,83,"1 adult, 2+ children",61
E09000025,Newham,7.0,4,Young Couples with Children,4227,55,27.1,2.2,Female,53,Student / training,100,Pakistani / Bangladeshi,40,A-level etc,33,Never married,95,Rented,78,"Couple, 3+ children",24
E09000025,Newham,7.0,5,Ethnic Minority Students in Multi-Adult Households,3106,21,27.5,2.0,Male,62,Student / training,100,Pakistani / Bangladeshi,33,A-level etc,52,Never married,100,Rented,62,"3+ adults (no couple), no children",48
E09000025,Newham,8.0,1,Elderly and Disabled Renters,7556,185,51.9,4.2,Female,51,Inactive,100,White,54,No qualification,36,Never married,51,Rented,77,"1 adult, no children",23
E09000025,Newham,8.0,2,Young Families in Transition,601,2,31.5,3.0,Male,50,Inactive,100,Mixed,50,GCSE etc,50,Never married,100,Rented,100,"1 adult, 1 child",100
E09000025,Newham,8.0,3,Middle-Aged Diverse Homeowners,836,5,48.8,2.8,Male,100,Inactive,100,Pakistani / Bangladeshi,60,Degree,40,Married/Civil partner,80,Rented,60,"1 adult, no children",20
E09000025,Newham,8.0,4,Single Adults in Shared Housing,675,3,33.0,2.3,Male,67,Inactive,100,White,100,Degree,33,Never married,100,Owner-occupied,33,"3+ adults (no couple), no children",100
E09000025,Newham,8.0,5,Low-Income Multi-Generational Households,1822,19,40.9,3.2,Male,68,Inactive,100,Pakistani / Bangladeshi,53,No qualification,26,Never married,53,Rented,68,"3+ adults (incl. couple), 1–2 children",37
E09000030,Tower Hamlets,3.0,1,Unemployed Multi-Adult Households,10672,319,43.7,3.1,Male,58,Unemployed,100,White,49,GCSE etc,25,Never married,59,Rented,76,"1 adult, no children",18
E09000030,Tower Hamlets,3.0,2,Single Parents in Local Authority Housing,911,12,42.7,3.2,Female,75,Unemployed,100,Pakistani / Bangladeshi,58,No qualification,33,Never married,67,Rented,83,"1 adult, no children",25
E09000030,Tower Hamlets,3.0,5,Married Couples with Children,1213,15,44.2,3.0,Male,87,Unemployed,100,Pakistani / Bangladeshi,67,No qualification,27,Married/Civil partner,60,Rented,100,"Couple, 2 children",20
E09000030,Tower Hamlets,5.0,1,Mature Asian Family Caregivers in Rented Housing,10012,361,45.5,2.9,Female,93,On leave,100,White,40,GCSE etc,27,Married/Civil partner,62,Rented,73,"Couple, 3+ children",20
E09000030,Tower Hamlets,5.0,2,Young Diverse Mothers on Maternity Leave,240,4,34.0,3.5,Female,100,On leave,100,Pakistani / Bangladeshi,50,A-level etc,75,Married/Civil partner,75,Rented,100,"Couple, 1 child",50
E09000030,Tower Hamlets,5.0,3,Single White Mothers in Rented Housing,49,1,39.0,3.0,Female,100,On leave,100,Pakistani / Bangladeshi,100,No qualification,100,Married/Civil partner,100,Owner-occupied,100,"Couple, 3+ children",100
E09000030,Tower Hamlets,5.0,4,Older Asian Women in Multi-Generational Households,337,6,49.7,2.7,Female,67,On leave,100,White,100,No qualification,50,Never married,50,Rented,83,"1 adult, 1 child",33
E09000030,Tower Hamlets,7.0,1,Young Diverse Students in Shared Housing,11367,548,27.5,2.3,Female,52,Student / training,100,White,48,A-level etc,39,Never married,93,Rented,61,"3+ adults (incl. couple), 1–2 children",18
E09000030,Tower Hamlets,7.0,2,Single Parents in Local Authority Housing,952,10,26.3,2.6,Male,60,Student / training,100,White,70,No qualification,80,Never married,90,Rented,90,"1 adult, 2+ children",70
E09000030,Tower Hamlets,7.0,3,Young Families in Private or Employer Housing,1227,21,27.1,2.1,Male,67,Student / training,100,Pakistani / Bangladeshi,43,No qualification,43,Never married,95,Rented,81,"Couple, 3+ children",38
E09000030,Tower Hamlets,7.0,4,Mature Students in Varied Housing,141,1,58.0,2.0,Male,100,Student / training,100,Pakistani / Bangladeshi,100,No qualification,100,Separated (incl. from civil partner),100,Rented,100,"1 adult, no children",100
E09000030,Tower Hamlets,8.0,1,Disabled and Unmarried in Shared Housing,9366,315,50.8,4.1,Female,50,Inactive,100,White,74,No qualification,37,Never married,50,Rented,87,"1 adult, no children",27
E09000030,Tower Hamlets,8.0,2,Older Adults in Local Authority Housing,1170,16,58.2,4.1,Male,69,Inactive,100,White,50,No qualification,81,Never married,56,Rented,88,"1 adult, no children",38
E09000030,Tower Hamlets,8.0,3,Young Adults with Children in Private Rentals,459,5,36.6,3.2,Female,60,Inactive,100,Pakistani / Bangladeshi,40,No qualification,80,Never married,80,Rented,100,"1 adult, 1 child",40
