ladcd,ladnm,group,cluster_id,tribe_label,size,n_respondents,age,health,sex_dv,sex_dv_pct,jbstat,jbstat_pct,racel_dv,racel_dv_pct,hiqual_dv,hiqual_dv_pct,marstat_dv,marstat_dv_pct,tenure_dv,tenure_dv_pct,tenure_dv_2,tenure_dv_2_pct,hhtype_dv,hhtype_dv_pct,hhtype_dv_2,hhtype_dv_2_pct,marstat_dv_2,marstat_dv_2_pct,hiqual_dv_2,hiqual_dv_2_pct,tribe_description,racel_dv_2,racel_dv_2_pct
E06000009,Blackpool,Retired,1,Multi-generational Households,947,11,75.5,3.1,Female,55,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,45,Divorced/dissolved civil partner,36,Owned outright,64,,,"2 adults, not a couple, 1 or more children",73,,,Widowed/surviving civil partner,27.0,A-level etc,18.0,"These households include children, often with a mix of marital statuses and tenures, reflecting diverse family structures among retirees.",,
E06000009,Blackpool,Retired,2,Stable Homeowning Couples,607,16,85.1,3.2,Male,69,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,88,Married/Civil partner,44,Owned outright,75,,,"3 or more adults, no children, incl. at least one couple",44,"2 adults, not a couple, one or more over pensionable age, no children",31.0,Never married,25.0,,,"Older couples or shared adult households who own their homes outright, generally enjoying good to fair health and financial stability.",,
E06000009,Blackpool,Retired,3,Renting & Shared Living Retirees,918,18,81.1,4.0,Male,50,Retired,100,White: British/English/Scottish/Welsh/N. Irish,89,No qualification,83,Widowed/surviving civil partner,44,Owned with mortgage,50,,,"2 adults, not a couple, one or more over pensionable age, no children",50,,,Never married,28.0,,,"Older couples or shared adult households who rent their homes, experiencing a range of health outcomes and potentially facing more financial precarity.",,
E06000009,Blackpool,Retired,4,Independent Solo Homeowners,523,17,85.5,2.6,Male,82,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,Widowed/surviving civil partner,35,Owned outright,100,,,"1 male, aged 65+, no children",82,,,Never married,35.0,,,"Older individuals living alone in their owned homes, typically enjoying good to very good health and a degree of independence.",,
E06000009,Blackpool,Retired,5,Vulnerable Solo Homeowners,246,8,81.8,4.4,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,Never married,62,Owned outright,100,,,"1 male, aged 65+, no children",100,,,,,,,"Older individuals living alone in their owned homes, often experiencing fair to poor health, indicating potential need for support.",,
E06000009,Blackpool,Retired,6,Independent Solo Renters,577,13,83.1,2.5,Female,77,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,Widowed/surviving civil partner,69,Rented private unfurnished,77,,,"1 female, age 60+, no children",77,,,,,,,"Older individuals living alone in rented accommodation, generally in good health and maintaining an active, independent lifestyle.",,
E06000009,Blackpool,Retired,7,Vulnerable Solo Renters,707,17,81.1,4.2,Male,53,Retired,100,White: British/English/Scottish/Welsh/N. Irish,94,No qualification,94,Widowed/surviving civil partner,47,Rented private unfurnished,47,Owned with mortgage,18.0,"1 female, age 60+, no children",47,"1 male, aged 65+, no children",41.0,Divorced/dissolved civil partner,29.0,,,"Older individuals living alone in rented accommodation, frequently facing fair to poor health and potentially greater financial and social challenges.",,
E06000009,Blackpool,Student / training,1,Young Independent Learners,139,6,26.2,2.2,Male,50,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,100,A-level etc,50,Never married,100,Owned with mortgage,50,,,"3 or more adults, no children, excl. any couples",83,,,,,,,"This cluster comprises young, single students and apprentices who live alone or in shared non-family households, focusing on their education or training without immediate family responsibilities.",,
E06000009,Blackpool,Student / training,2,Young Family Carers,2184,93,24.4,2.2,Male,59,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,91,GCSE etc,35,Never married,100,Owned with mortgage,57,,,"1 adult, 2 or more children",32,"2 adults, not a couple, 1 or more children",29.0,,,No qualification,33.0,"This large group consists of young, single students and apprentices who are also parents, living in family units with children, balancing their studies or training with significant childcare responsibilities.",,
E06000009,Blackpool,Student / training,3,Mature Trainee Parent,125,1,42.0,4.0,Female,100,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,Separated (incl. from civil partner),100,Rented private unfurnished,100,,,"1 adult, 2 or more children",100,,,,,,,"This distinct cluster represents an older, separated individual engaged in government training, who is also a single parent managing family life alongside their vocational development.",,
E06000009,Blackpool,Unemployed,1,Young Unemployed Families,1609,42,27.9,2.6,Male,60,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,98,GCSE etc,48,Never married,95,Owned with mortgage,50,,,"2 adults, not a couple, 1 or more children",21,Couple with 2 children,17.0,,,No qualification,26.0,"These are younger adults, often single or cohabiting, many raising young children or living in shared households, typically in private or mortgaged housing, and generally report good health.",,
E06000009,Blackpool,Unemployed,2,Mid-Life Unemployed Navigators,1153,33,49.1,3.2,Male,52,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,79,No qualification,48,Never married,52,Rented private unfurnished,30,Owned outright,15.0,"3 or more adults, no children, excl. any couples",18,"1 adult under pensionable age, no children",15.0,,,GCSE etc,33.0,"This group consists of middle-aged individuals, often single parents, divorced, or in established families, with diverse housing situations, and experiencing varied health conditions.",,
E06000009,Blackpool,Unemployed,3,Older Unemployed with Health Concerns,1009,25,61.7,3.4,Male,60,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,96,No qualification,68,Never married,56,Local authority rent,36,Rented private unfurnished,20.0,"1 adult under pensionable age, no children",24,"1 adult, 2 or more children",12.0,,,,,"This cluster comprises older adults, frequently living alone or with a partner after children have left home, often owning their homes but also in social housing, and commonly reporting fair to poor health.",,
E06000047,County Durham,Employed,1,Young & Independent Professionals,1030,6,32.3,2.5,Male,83,Employed,100,White: British/English/Scottish/Welsh/N. Irish,83,No qualification,67,Never married,100,Local authority rent,50,,,"3 or more adults, no children, excl. any couples",50,,,,,,,"Young adults, mostly single, living in shared households or alone, often renting or with a mortgage. They are focused on their independent lives before settling down.",,
E06000047,County Durham,Employed,2,Young Working Families,2879,19,28.4,2.2,Female,74,Employed,100,White: British/English/Scottish/Welsh/N. Irish,95,A-level etc,47,Never married,89,Owned with mortgage,63,,,"2 adults, not a couple, 1 or more children",95,,,,,GCSE etc,47.0,"Adults under 40, often single or cohabiting, raising young children in two-adult households, typically homeowners with a mortgage. They are establishing their family lives and careers.",,
E06000047,County Durham,Employed,3,Established Homeowner Families,4796,29,56.0,2.4,Male,62,Employed,100,White: British/English/Scottish/Welsh/N. Irish,83,No qualification,93,Married/Civil partner,93,Owned with mortgage,66,,,Couple with 1 child,38,Couple with 2 children,34.0,,,,,"Mid-age to older adults (35-75+) who are married or cohabiting, living in couple households with children, predominantly homeowners with a mortgage. They represent stable, long-term family units.",,
E06000047,County Durham,Employed,4,Resilient Single Parents,3845,26,49.9,2.6,Female,88,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,GCSE etc,65,Never married,50,Owned with mortgage,46,Rented private unfurnished,31.0,"1 adult, 1 child",69,,,,,,,"Diverse adults across age groups who are single, divorced, or separated, raising children alone in various housing tenures. They are managing family responsibilities as a sole parent.",,
E06000047,County Durham,Employed,5,Older Non-Married Households,3205,16,59.2,2.8,Female,81,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,50,Never married,31,Owned with mortgage,75,,,"2 adults, not a couple, 1 or more children",81,,,Divorced/dissolved civil partner,25.0,,,"Mid-age to elderly adults (35+) who are divorced, separated, widowed, or single, living in multi-adult households (often with adult children or other adults). They are navigating later life stages without a partner but often with family support.",,
E06000047,County Durham,Employed,6,Elderly Solo Homeowners,461,4,74.0,2.2,Male,75,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,Never married,75,Owned outright,75,,,"1 male, aged 65+, no children",75,,,,,,,"Elderly individuals (70+) living alone, often widowed or single, and typically owning their homes outright. They represent independent living in old age.",,
E06000047,County Durham,Inactive,1,Young Adults Navigating Inactivity,4983,32,35.4,4.0,Female,53,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,94,No qualification,56,Never married,72,Local authority rent,34,Rented private unfurnished,19.0,"2 adults, not a couple, 1 or more children",22,"3 or more adults, no children, excl. any couples",22.0,,,,,"This cluster comprises younger adults, often under 45, who are inactive due to various reasons, frequently living in rented accommodation or with mortgages, and often managing households with children or multiple adults. Their health status varies, but many are in fair to good health.",,
E06000047,County Durham,Inactive,2,Middle-Aged Inactive with Emerging Health Challenges,3505,31,57.4,4.2,Male,55,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,97,No qualification,87,Never married,48,Housing association rented,39,Local authority rent,35.0,"1 adult under pensionable age, no children",32,"2 adults, not a couple, both under pensionable age, no children",13.0,Divorced/dissolved civil partner,29.0,,,"This group consists of middle-aged individuals, typically between 45 and 64, who are inactive primarily due to long-term sickness or disability. They often live in social housing or with a mortgage, and are frequently single, divorced, or in couples, with fair to poor health.",,
E06000047,County Durham,Inactive,3,"Older Inactive, Established but Vulnerable",3769,37,68.2,4.6,Female,51,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,89,Never married,43,Local authority rent,32,Housing association rented,30.0,"1 adult under pensionable age, no children",41,"1 female, age 60+, no children",8.0,Divorced/dissolved civil partner,30.0,,,"This cluster includes older adults, generally 65 and above, who are inactive due to long-term health issues, often experiencing poor health. They tend to live in established households, frequently owning their homes outright or in social housing, and are often widowed, divorced, or living alone.",,
E06000047,County Durham,On leave,1,Young Parents on Parental Leave,287,6,36.8,1.8,Female,83,On leave,100,White: British/English/Scottish/Welsh/N. Irish,100,GCSE etc,67,Married/Civil partner,50,Rented private unfurnished,33,Owned outright,17.0,"1 adult, 2 or more children",33,Couple with 1 child,33.0,,,,,"This cluster comprises younger individuals, predominantly women, who are currently on maternity or shared parental leave, often with young children and varied housing tenure. They are focused on early childcare.",,
E06000047,County Durham,On leave,2,Renting Carers and Homemakers,4819,62,45.2,3.2,Female,90,On leave,100,White: British/English/Scottish/Welsh/N. Irish,89,GCSE etc,34,Never married,44,Local authority rent,42,Rented private unfurnished,27.0,"1 adult, 2 or more children",44,"2 adults, not a couple, 1 or more children",19.0,Married/Civil partner,18.0,No qualification,31.0,"This diverse group, spanning younger to older adults, is primarily engaged in family care or home duties while living in rented accommodation (council, housing association, or private). Many are single parents or individuals with lower educational qualifications, often facing socio-economic challenges.",,
E06000047,County Durham,On leave,3,Homeowning Family Carers,1658,32,59.4,3.0,Female,81,On leave,100,White: British/English/Scottish/Welsh/N. Irish,91,No qualification,34,Married/Civil partner,72,Owned with mortgage,53,,,Couple with 2 children,19,Couple with 3 or more children,19.0,,,GCSE etc,31.0,"This cluster consists of middle-aged to older adults, predominantly homeowners (outright or mortgage), who are on leave for family care or home duties. They often live in stable family units, including couples with children or older adults caring for partners or adult dependents.",,
E06000047,County Durham,Retired,1,Younger Retired Single Parents,221,2,55.5,3.0,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,A-level etc,50,Divorced/dissolved civil partner,50,Owned with mortgage,100,,,"1 adult, 1 child",100,,,,,,,"This small group consists of younger retirees in their 50s and 60s who are single or divorced and still raising a child, often managing a mortgage.",,
E06000047,County Durham,Retired,2,Older Couples with Adult Children,1958,9,79.3,3.2,Female,78,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,56,Widowed/surviving civil partner,44,Owned outright,78,,,"2 adults, not a couple, 1 or more children",100,,,Divorced/dissolved civil partner,33.0,,,"These are older retired couples, typically in their 70s to 90s, who live with at least one adult child, often owning their homes outright.",,
E06000047,County Durham,Retired,3,Established Retired Couples,1753,20,82.8,3.3,Male,70,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,95,Widowed/surviving civil partner,55,Owned outright,50,,,"2 adults, not a couple, one or more over pensionable age, no children",95,,,,,,,"This large group comprises older retired couples, mostly in their 70s to 90s, who live independently without children at home and are predominantly homeowners.",,
E06000047,County Durham,Retired,4,Older Solo Homeowners,1358,18,84.2,3.6,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,Never married,67,Owned outright,100,,,"1 male, aged 65+, no children",100,,,,,,,"This cluster includes elderly individuals, primarily in their 70s to 90s, who live alone, are often widowed or single, and own their homes outright.",,
E06000047,County Durham,Retired,5,Older Solo Renters,1996,26,76.7,3.4,Male,96,Retired,100,White: British/English/Scottish/Welsh/N. Irish,96,No qualification,100,Never married,42,Local authority rent,58,,,"1 male, aged 65+, no children",77,,,Widowed/surviving civil partner,27.0,,,"This group consists of elderly individuals, mainly in their 70s to 90s, who live alone and rent their accommodation, often experiencing varied health conditions.",,
E06000047,County Durham,Retired,6,Older Solo Mortgage Holders,156,2,73.0,3.5,Male,50,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,Divorced/dissolved civil partner,50,Owned with mortgage,100,,,"1 male, aged 65+, no children",50,,,,,,,"A distinct but smaller group of retired individuals, typically in their 70s, who live alone and are still paying a mortgage on their property.",,
E06000047,County Durham,Retired,7,Multi-Generational Households,2347,23,82.7,3.8,Male,65,Retired,100,White: British/English/Scottish/Welsh/N. Irish,96,No qualification,96,Married/Civil partner,48,Owned outright,30,Owned with mortgage,22.0,"3 or more adults, no children, excl. any couples",52,,,Widowed/surviving civil partner,30.0,,,"This cluster represents older retirees, generally in their 70s to 90s, living in larger, often multi-generational households with three or more adults, reflecting diverse family or shared living arrangements.",,
E06000047,County Durham,Student / training,1,Student Parents in Rented Homes,3182,26,24.9,2.5,Male,58,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,96,No qualification,54,Never married,96,Local authority rent,38,Rented private unfurnished,38.0,"1 adult, 2 or more children",35,"2 adults, not a couple, 1 or more children",31.0,,,,,"This cluster comprises young adults who are parents, either single or in a couple, and are currently renting their homes through council, housing associations, or private landlords. They are balancing family responsibilities with their studies or training, often with more constrained financial resources.",,
E06000047,County Durham,Student / training,2,Homeowning Student Parents,4980,62,24.1,2.1,Male,56,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,92,No qualification,45,Never married,100,Owned with mortgage,82,,,"1 adult, 2 or more children",31,"2 adults, not a couple, 1 or more children",23.0,,,GCSE etc,31.0,"This group consists of young adults who are parents and own their homes, either outright or with a mortgage. They are pursuing education or training while managing family life, likely indicating a more established and financially stable household.",,
E06000047,County Durham,Student / training,3,Young Adults in Shared Living,807,12,27.2,2.1,Male,67,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,83,A-level etc,67,Never married,100,Owned with mortgage,50,,,"3 or more adults, no children, excl. any couples",100,,,,,,,"This cluster represents young adults living in multi-adult households without a couple, typically indicating shared student accommodation or living with family or friends. They are generally single and focused on their studies or training, often renting privately.",,
E06000047,County Durham,Unemployed,1,Young Families & Aspiring Workers,4629,52,28.9,2.9,Male,63,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,94,GCSE etc,48,Never married,90,Owned with mortgage,37,Local authority rent,23.0,"2 adults, not a couple, 1 or more children",23,"3 or more adults, no children, excl. any couples",21.0,,,A-level etc,23.0,"This cluster comprises younger adults, predominantly in their late 20s and 30s, often single or in couples with young children, or single parents. They typically rent or have a mortgage, have varied educational backgrounds, and generally report good health while actively seeking employment.",,
E06000047,County Durham,Unemployed,2,Mid-Life Job Seekers,1738,19,48.3,3.5,Female,68,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,89,GCSE etc,42,Never married,68,Local authority rent,26,Housing association rented,26.0,"1 adult, 1 child",26,"1 adult, 2 or more children",21.0,,,No qualification,37.0,"This group consists of middle-aged individuals, mostly in their 40s and 50s, with diverse household structures including single parents, couples with children, or multi-adult homes. They often have lower qualifications, a mix of housing tenures, and report fair to good health, facing the challenges of unemployment in mid-career.",,
E06000047,County Durham,Unemployed,3,Older Unemployed & Established Residents,3107,29,64.9,3.2,Male,62,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,93,No qualification,83,Never married,38,Local authority rent,34,Owned outright,24.0,"1 adult under pensionable age, no children",17,"2 adults, not a couple, 1 or more children",14.0,Married/Civil partner,28.0,,,"This cluster represents older adults, primarily in their 60s and 70s, many of whom are single, divorced, or widowed and live alone or in multi-adult households. They often have no formal qualifications, a mix of homeownership and social renting, and tend to report fair to poor health, indicating potential long-term challenges in the job market.",,
E09000018,Hounslow,Employed,1,Young Educated Professionals,2191,16,35.6,2.0,Female,75,Employed,100,Asian: Indian,25,Degree,100,Never married,94,Owned with mortgage,38,Owned outright,19.0,"3 or more adults, no children, excl. any couples",100,,,,,,,"This cluster consists of young adults, typically in their 20s to early 40s, who hold higher education degrees. They are often single, living in shared households or with a mortgage, and represent a diverse mix of ethnicities.",Asian: Pakistani,25.0
E09000018,Hounslow,Employed,2,Young Working Adults,3278,20,35.3,2.6,Female,60,Employed,100,Asian: Bangladeshi,45,A-level etc,55,Never married,95,Owned with mortgage,25,Owned outright,20.0,"3 or more adults, no children, excl. any couples",90,,,,,,,"This group comprises younger adults, mostly in their 30s and early 40s, who are often single and live in shared households. They have varied educational backgrounds (A-level or below) and are predominantly from Asian ethnic groups, typically renting or with a mortgage.",Asian: Indian,20.0
E09000018,Hounslow,Employed,3,Middle-Aged Asian Families,2684,26,47.9,2.2,Male,92,Employed,100,Asian: Bangladeshi,35,No qualification,35,Married/Civil partner,100,Rented from employer,38,Rented private unfurnished,23.0,Couple with 3 or more children,50,,,,,Degree,31.0,"This cluster includes married middle-aged adults, primarily from Asian ethnic backgrounds, living with children. They have diverse housing tenures, including various forms of renting and mortgages, and often have vocational or no formal qualifications.",Asian: Pakistani,31.0
E09000018,Hounslow,Employed,4,Established Multi-Generational Households,3139,13,57.2,2.5,Female,54,Employed,100,Asian: Indian,54,A-level etc,46,Never married,54,Owned with mortgage,38,Rented private furnished,31.0,"3 or more adults, no children, excl. any couples",100,,,,,Degree,15.0,"This group consists of older working-age adults, often married or single, predominantly of Asian ethnicity, living in multi-adult or multi-generational households. They are typically renting privately or have a mortgage, representing established family units.",,
E09000018,Hounslow,Employed,5,Older Homeowners,684,6,67.7,2.7,Male,83,Employed,100,Asian: Indian,33,A-level etc,50,Married/Civil partner,50,Owned outright,67,,,Couple with 1 child,33,"3 or more adults, no children, excl. any couples",33.0,,,,,"These are older adults, typically 60s to 80s, who own their homes outright or with a mortgage. This established group includes married, widowed, and single individuals from diverse ethnic backgrounds.",Asian: Pakistani,33.0
E09000018,Hounslow,Employed,6,Middle-Aged Divorced/Separated,1323,11,53.5,2.8,Female,91,Employed,100,Asian: Pakistani,36,A-level etc,27,Divorced/dissolved civil partner,73,Rented private unfurnished,36,Owned with mortgage,27.0,"3 or more adults, no children, excl. any couples",45,"1 adult, 2 or more children",27.0,,,GCSE etc,27.0,"This cluster represents middle-aged individuals who are divorced or separated, often single parents or living in multi-adult households. They have mixed educational backgrounds and primarily rent or have a mortgage.",White: British/English/Scottish/Welsh/N. Irish,27.0
E09000018,Hounslow,Employed,7,Diverse Renters with Specific Needs,1045,8,54.8,3.1,Female,62,Employed,100,Arab,25,GCSE etc,38,Never married,75,Rented private unfurnished,62,,,"3 or more adults, no children, excl. any couples",50,,,,,No qualification,38.0,"This is a mixed group of renters with specific circumstances, including older singles, single parents, and those with poorer health or unique living arrangements. They have diverse ages, ethnicities, and educational backgrounds, often in social or private rented housing.",Other ethnic group,25.0
E09000018,Hounslow,Inactive,1,Healthier Inactive Adults,1545,32,41.6,2.5,Male,56,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,38,No qualification,28,Never married,50,Owned with mortgage,28,Rented private unfurnished,28.0,"2 adults, not a couple, 1 or more children",19,"3 or more adults, no children, excl. any couples",19.0,,,Degree,22.0,"This group consists of younger to middle-aged adults who are inactive for various reasons other than severe long-term illness, often reporting good or excellent health. They typically live in diverse household types and frequently rent their homes.",Asian: Pakistani,22.0
E09000018,Hounslow,Inactive,2,Middle-Aged Inactive with Chronic Health Issues,1802,43,47.7,4.7,Female,60,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,40,No qualification,33,Never married,47,Local authority rent,30,Owned with mortgage,19.0,"3 or more adults, no children, excl. any couples",30,"1 adult, 2 or more children",16.0,Married/Civil partner,21.0,GCSE etc,23.0,"This cluster comprises middle-aged adults who are inactive due to fair or poor health, often living in family or multi-adult households. They frequently face significant health challenges that impact their ability to work.",Asian: Pakistani,21.0
E09000018,Hounslow,Inactive,3,Elderly Inactive with Significant Health Challenges,1476,25,66.8,4.5,Female,64,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,40,No qualification,76,Never married,36,Local authority rent,40,Rented private unfurnished,24.0,"3 or more adults, no children, excl. any couples",32,"1 female, age 60+, no children",8.0,Married/Civil partner,24.0,,,"This group includes older adults, often of retirement age or beyond, who are inactive due to fair or poor health. Many live alone or in elderly couple households and frequently rely on social housing or own their homes outright.",Asian: Indian,12.0
E09000018,Hounslow,On leave,1,Young Parental Leavers,478,11,44.2,2.9,Female,91,On leave,100,Asian: Pakistani,36,A-level etc,36,Married/Civil partner,73,Owned with mortgage,27,Housing association rented,18.0,"3 or more adults, 1–2 children, incl. at least one couple",27,"1 adult, 2 or more children",18.0,,,No qualification,27.0,"This group consists of younger individuals, predominantly women, on maternity leave. They are typically in their late 20s to early 40s, often single or married, and live in households with young children, frequently renting or with a mortgage.",White: British/English/Scottish/Welsh/N. Irish,27.0
E09000018,Hounslow,On leave,2,Established Family Carers,2349,59,50.1,2.9,Female,95,On leave,100,Asian: Pakistani,41,No qualification,51,Married/Civil partner,95,Rented private unfurnished,24,Owned outright,17.0,Couple with 3 or more children,32,Couple with 2 children,22.0,,,,,"This cluster comprises mid-life to older individuals on family care leave, predominantly married and living in stable family households. They often own their homes and represent diverse ethnicities, caring for children or other family members within an established household structure.",Asian: Bangladeshi,31.0
E09000018,Hounslow,On leave,3,Mid-Life Independent Carers,1720,30,46.1,2.7,Female,97,On leave,100,White: British/English/Scottish/Welsh/N. Irish,50,No qualification,30,Never married,47,Rented private unfurnished,33,Local authority rent,23.0,"1 adult, 2 or more children",37,"1 adult, 1 child",23.0,Separated (incl. from civil partner),20.0,A-level etc,23.0,"This group includes mid-life to older individuals on family care leave who are single, separated, divorced, or widowed. They often live in single-parent or multi-adult non-couple households and are more likely to be in rented accommodation.",,
