ladcd,ladnm,group,cluster_id,tribe_label,size,n_respondents,age,health,sex_dv,sex_dv_pct,jbstat,jbstat_pct,racel_dv,racel_dv_pct,hiqual_dv,hiqual_dv_pct,hiqual_dv_2,hiqual_dv_2_pct,marstat_dv,marstat_dv_pct,marstat_dv_2,marstat_dv_2_pct,tenure_dv,tenure_dv_pct,hhtype_dv,hhtype_dv_pct,hhtype_dv_2,hhtype_dv_2_pct,racel_dv_2,racel_dv_2_pct,tenure_dv_2,tenure_dv_2_pct,tribe_description
E06000009,Blackpool,Retired,5,Older Married Retired Men,7006,1233,85.9,3.2,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,97,No qualification,26,A-level etc,19.0,Married/Civil partner,65,,,Owned outright,82,"Couple 1 or more over pensionable age, no children",61,,,,,,,"This cluster is made up of older retired men, averaging 86 years old, who are predominantly married and own their homes outright. They typically live as couples and have mixed educational backgrounds."
E06000009,Blackpool,Student / training,1,Young Female Homeowner Students,1478,316,27.2,2.4,Female,100,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,99,A-level etc,47,GCSE etc,31.0,Never married,92,,,Owned with mortgage,48,"3 or more adults, 1–2 children, incl. at least one couple",23,"3 or more adults, no children, incl. at least one couple",15.0,,,Owned outright,19.0,"This cluster consists entirely of young, single White British women in training or education. Many are homeowners with a mortgage and live in complex households, often with other adults and sometimes children."
E06000009,Blackpool,Student / training,2,Young White Homeowner Parents,1127,150,24.0,2.2,Male,57,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,97,GCSE etc,56,,,Never married,99,,,Owned with mortgage,60,Couple with 2 children,24,"3 or more adults, 1–2 children, incl. at least one couple",22.0,,,,,"This is the youngest cluster, primarily comprising White British individuals in training or education. A significant portion are homeowners with a mortgage and live as couples with two children, or in larger households with children."
E06000009,Blackpool,Student / training,3,Young Asian Homeowner Students,458,170,26.7,2.3,Female,53,Student / training,100,Asian: Pakistani,20,GCSE etc,38,A-level etc,34.0,Never married,96,,,Owned with mortgage,41,"3 or more adults, 1–2 children, incl. at least one couple",21,Couple with 2 children,15.0,Asian: Indian,15.0,Owned outright,16.0,"This is the smallest cluster, distinguished by its significant proportion of Asian individuals, primarily Pakistani and Indian. These young people are mostly single, homeowners, and often live in complex households, sometimes with children."
E06000009,Blackpool,Student / training,4,Young Male Homeowner Students,1369,244,26.7,2.2,Male,100,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,100,A-level etc,49,GCSE etc,31.0,Never married,95,,,Owned with mortgage,59,"3 or more adults, 1–2 children, incl. at least one couple",21,"3 or more adults, no children, incl. at least one couple",17.0,,,,,"This cluster is exclusively composed of young, single White British men in training or education. A large proportion are homeowners with a mortgage and reside in complex households, which may include other adults and sometimes children."
E06000009,Blackpool,Student / training,5,Older Male Shared Households,243,36,31.6,2.1,Male,81,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,92,A-level etc,44,GCSE etc,22.0,Never married,83,,,Owned with mortgage,50,"3 or more adults, no children, incl. at least one couple",36,"3 or more adults, 1–2 children, incl. at least one couple",19.0,,,,,"This is the oldest cluster within the student/training group, predominantly White British men. They are mostly single and homeowners, frequently living in multi-adult households, with a notable proportion of these households having no children."
E06000009,Blackpool,Unemployed,1,Young White Male House Sharers,1640,168,29.7,2.7,Male,100,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,89,GCSE etc,38,A-level etc,29.0,Never married,87,,,Owned with mortgage,36,"3 or more adults, no children, incl. at least one couple",23,"3 or more adults, 1–2 children, incl. at least one couple",18.0,,,Housing association rented,17.0,"This cluster consists entirely of young, never-married White British men, averaging around 30 years old. They often live in multi-adult households, sometimes with couples and children, and typically have GCSE or A-level qualifications."
E06000009,Blackpool,Unemployed,2,Older White Female Homeowners,1192,155,58.9,3.4,Female,100,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,87,GCSE etc,29,No qualification,20.0,Married/Civil partner,35,Never married,25.0,Owned with mortgage,25,"1 adult under pensionable age, no children",14,"Couple both under pensionable age, no children",13.0,,,Owned outright,21.0,"This group is composed exclusively of older White British women, nearing 60, with varied marital statuses. They tend to live alone or as couples without children and show a significant proportion of homeowners, either with a mortgage or outright."
E06000009,Blackpool,Unemployed,3,Middle-Aged Asian Families,348,104,47.4,3.0,Female,55,Unemployed,100,Asian: Pakistani,36,No qualification,27,A-level etc,24.0,Married/Civil partner,47,Never married,39.0,Owned with mortgage,40,"3 or more adults, 1–2 children, incl. at least one couple",17,Couple with 2 children,12.0,Asian: Bangladeshi,23.0,Local authority rent,16.0,"This is the smallest and most ethnically diverse cluster, primarily comprising middle-aged individuals of Pakistani and Bangladeshi heritage, often married. They frequently live in multi-adult households with children and have a notable proportion with no formal qualifications."
E06000009,Blackpool,Unemployed,4,Young White Female Renters,1453,127,30.6,2.9,Female,100,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,87,GCSE etc,37,A-level etc,31.0,Never married,87,,,Owned with mortgage,35,"3 or more adults, 1–2 children, incl. at least one couple",17,Couple with 2 children,13.0,,,Local authority rent,21.0,"This cluster is made up entirely of young, never-married White British women, averaging around 30 years old. They often reside in multi-adult households with children and are frequently found in local authority or mortgaged housing."
E06000009,Blackpool,Unemployed,5,Older White Male Homeowners,1793,185,57.3,3.2,Male,100,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,90,GCSE etc,27,A-level etc,21.0,Never married,39,Married/Civil partner,34.0,Owned outright,26,"1 adult under pensionable age, no children",30,"Couple both under pensionable age, no children",12.0,,,Owned with mortgage,24.0,"This cluster consists solely of older White British men, around 57 years old, with a mix of never-married and married individuals. They are often single-adult households or couples without children, and a significant portion own their homes outright."
E06000047,County Durham,Employed,1,Older Male Mortgage Holders,59902,3750,61.3,2.7,Male,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,93,Degree,32,A-level etc,22.0,Married/Civil partner,71,,,Owned with mortgage,52,"Couple both under pensionable age, no children",20,"3 or more adults, no children, incl. at least one couple",18.0,,,,,"This cluster consists exclusively of older, married White British men, predominantly homeowners with a mortgage. They are well-educated and often live in couple households without children or multi-adult households."
E06000047,County Durham,Employed,2,Young Professional Mothers,47897,2936,38.3,2.4,Female,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,87,Degree,46,A-level etc,25.0,Married/Civil partner,39,Never married,38.0,Owned with mortgage,56,Couple with 2 children,20,"Couple both under pensionable age, no children",16.0,,,,,"Comprising exclusively younger, highly educated White British women, this cluster includes a mix of married and never-married individuals. They are mostly homeowners with mortgages, often living as couples with two children."
E06000047,County Durham,Employed,3,Young Professional Fathers,50419,2443,39.0,2.4,Male,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,91,Degree,39,A-level etc,30.0,Married/Civil partner,44,Never married,34.0,Owned with mortgage,59,Couple with 2 children,22,"Couple both under pensionable age, no children",16.0,,,,,"This cluster is made up entirely of younger, highly educated White British men, with a mix of married and never-married individuals. They are primarily homeowners with mortgages, frequently living as couples with two children."
E06000047,County Durham,Employed,4,Educated Asian Extended Families,7538,1658,46.9,2.6,Male,57,Employed,100,Asian: Indian,37,Degree,49,A-level etc,20.0,Married/Civil partner,66,,,Owned with mortgage,51,"3 or more adults, no children, incl. at least one couple",19,"3 or more adults, 1–2 children, incl. at least one couple",19.0,Asian: Pakistani,24.0,,,"The smallest and most ethnically diverse cluster, it features a significant proportion of Asian Indian and Pakistani individuals. These middle-aged, highly educated homeowners are mostly married and often live in multi-adult or multi-generational households."
E06000047,County Durham,Employed,5,Older Female Outright Homeowners,56741,4227,60.8,2.7,Female,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,90,Degree,34,GCSE etc,21.0,Married/Civil partner,62,,,Owned with mortgage,48,"Couple both under pensionable age, no children",18,"3 or more adults, no children, incl. at least one couple",18.0,,,Owned outright,34.0,"This cluster is exclusively older, married White British women, distinguished by a high proportion of outright homeownership in addition to mortgages. They are educated and typically live in couple households without children or multi-adult households."
E06000047,County Durham,Inactive,1,Middle-Aged Female Renters,6002,223,45.4,4.3,Female,100,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,85,GCSE etc,36,A-level etc,20.0,Never married,42,Married/Civil partner,30.0,Local authority rent,28,"3 or more adults, no children, incl. at least one couple",13,"1 adult under pensionable age, no children",11.0,,,Owned with mortgage,23.0,"This cluster consists exclusively of middle-aged women, predominantly White British, who are often never married. They typically live in local authority rented housing or own with a mortgage, with diverse household structures including some larger adult groups."
E06000047,County Durham,Inactive,2,Older Male Social Renters,7209,270,63.7,4.3,Male,100,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,84,GCSE etc,23,No qualification,20.0,Married/Civil partner,43,Never married,29.0,Local authority rent,26,"1 adult under pensionable age, no children",33,"Couple both under pensionable age, no children",16.0,,,Owned outright,25.0,"Comprising exclusively older men, mostly White British, this group often has lower educational qualifications. Many are married, living alone or as couples without children, and are primarily social housing tenants or outright homeowners."
E06000047,County Durham,Inactive,3,Young Male Renters,3530,94,39.9,4.0,Male,100,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,80,A-level etc,33,GCSE etc,26.0,Never married,57,,,Local authority rent,28,"3 or more adults, no children, incl. at least one couple",22,"1 adult under pensionable age, no children",14.0,,,Rented private unfurnished,21.0,"This is a younger middle-aged, exclusively male cluster, predominantly White British, with a high proportion of never-married individuals. They are primarily renters, either in local authority or private unfurnished housing, often living in shared adult households."
E06000047,County Durham,Inactive,4,Older Divorced Female Homeowners,8127,375,65.3,4.3,Female,100,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,85,No qualification,23,GCSE etc,21.0,Married/Civil partner,38,Divorced/dissolved civil partner,26.0,Owned outright,28,"1 adult under pensionable age, no children",19,"1 female, age 60+, no children",17.0,,,Local authority rent,26.0,"This cluster is made up entirely of older women, mostly White British, with lower educational attainment. A significant proportion are divorced, and they are typically outright homeowners or local authority renters, often living alone as older women."
E06000047,County Durham,Inactive,5,Young Diverse Homeowners with Children,2094,72,29.2,2.4,Male,54,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,54,A-level etc,36,GCSE etc,36.0,Never married,83,,,Owned with mortgage,40,"3 or more adults, 1–2 children, incl. at least one couple",25,Couple with 2 children,15.0,,,Owned outright,21.0,"This is the youngest and healthiest cluster, featuring a more diverse racial makeup and an overwhelming majority of never-married individuals. They are predominantly homeowners with mortgages and often live in households with children, sometimes with multiple adults."
E06000047,County Durham,On leave,1,Older Male Mixed Tenure,1304,58,57.3,3.2,Male,100,On leave,100,White: British/English/Scottish/Welsh/N. Irish,95,GCSE etc,31,A-level etc,26.0,Married/Civil partner,64,,,Owned outright,29,Couple with 2 children,14,"3 or more adults, 1–2 children, incl. at least one couple",14.0,,,Local authority rent,24.0,"This cluster consists entirely of older working-age men, predominantly White British, with a mix of owned and local authority rented housing. They typically have mid-level qualifications and are often married."
E06000047,County Durham,On leave,2,Young Female Renters with Children,4382,142,38.8,3.1,Female,100,On leave,100,White: British/English/Scottish/Welsh/N. Irish,80,GCSE etc,44,A-level etc,27.0,Never married,35,Married/Civil partner,30.0,Local authority rent,41,"1 adult, 2 or more children",29,Couple with 3 or more children,17.0,,,Rented private unfurnished,28.0,"This cluster comprises exclusively younger women, predominantly White British, who are primarily renters in local authority or private housing. Many are single parents with multiple children or part of larger families."
E06000047,County Durham,On leave,3,Older Female Outright Homeowners,5272,329,61.9,3.0,Female,100,On leave,100,White: British/English/Scottish/Welsh/N. Irish,92,GCSE etc,29,Degree,18.0,Married/Civil partner,76,,,Owned outright,37,"3 or more adults, no children, incl. at least one couple",24,"Couple 1 or more over pensionable age, no children",16.0,,,Owned with mortgage,33.0,"This cluster consists entirely of older women, predominantly White British and married, who are largely homeowners, often owning their properties outright. They frequently live in households with other adults, including older couples without children."
E06000047,County Durham,On leave,4,Educated Young Female Mortgaged Families,3590,245,41.5,2.3,Female,100,On leave,100,White: British/English/Scottish/Welsh/N. Irish,85,Degree,56,,,Married/Civil partner,74,,,Owned with mortgage,71,Couple with 2 children,42,Couple with 1 child,30.0,,,,,"This cluster is composed exclusively of younger, highly educated women, predominantly White British, who are in very good health and largely own their homes with a mortgage. They are typically married and live in households with one or two children."
E06000047,County Durham,On leave,5,Asian Female Large Families,1497,277,48.9,2.9,Female,98,On leave,100,Asian: Pakistani,43,No qualification,23,GCSE etc,21.0,Married/Civil partner,93,,,Owned with mortgage,37,Couple with 3 or more children,24,"3 or more adults, 1–2 children, incl. at least one couple",19.0,Asian: Bangladeshi,29.0,Owned outright,26.0,"This cluster is predominantly middle-aged Asian women, primarily of Pakistani and Bangladeshi heritage, with the highest marriage rate among the groups. They often have lower qualifications, own their homes, and live in large families or multi-generational households with three or more children."
E06000047,County Durham,Retired,1,Younger Educated Married Men,20437,1671,73.7,2.9,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,92,Degree,32,A-level etc,21.0,Married/Civil partner,76,,,Owned outright,78,"Couple 1 or more over pensionable age, no children",57,,,,,,,"This cluster comprises younger retired men, predominantly married, with a significant proportion holding university degrees or A-levels. They generally report good health and live in couples in homes they own outright."
E06000047,County Durham,Retired,2,Older Less-Educated Women,24718,1480,83.1,3.1,Female,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,92,No qualification,29,GCSE etc,21.0,Married/Civil partner,48,Widowed/surviving civil partner,31.0,Owned outright,78,"Couple 1 or more over pensionable age, no children",46,"1 female, age 60+, no children",42.0,,,,,"This cluster consists of older retired women, many of whom have no formal qualifications. They are a mix of married and widowed, living either in couples or as single older women, predominantly owning their homes outright."
E06000047,County Durham,Retired,3,Younger Educated Married Women,18707,1947,73.3,2.9,Female,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,91,Degree,25,GCSE etc,21.0,Married/Civil partner,69,,,Owned outright,79,"Couple 1 or more over pensionable age, no children",59,,,,,,,"This group represents younger retired women, largely married and living in couples, with a notable proportion holding university degrees. They report good health and typically own their homes outright."
E06000047,County Durham,Retired,4,Oldest Widowed Single Women,10487,516,93.6,3.3,Female,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,95,No qualification,37,Other qualification,20.0,Widowed/surviving civil partner,68,,,Owned outright,78,"1 female, age 60+, no children",70,,,,,,,"This is the oldest cluster, consisting almost entirely of widowed women in their nineties, living alone. They generally have no formal qualifications but report good health and own their homes outright."
E06000047,County Durham,Retired,5,Older Married Male Homeowners,25935,1586,85.8,3.1,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,94,Degree,21,No qualification,21.0,Married/Civil partner,69,,,Owned outright,83,"Couple 1 or more over pensionable age, no children",66,,,,,,,"This cluster represents older retired men, mostly married and living in couples, with a very high rate of outright homeownership. Their educational attainment is mixed, and they report good health."
E06000047,County Durham,Student / training,1,Older Female Student Homeowners,7739,557,28.3,2.4,Female,100,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,82,A-level etc,50,,,Never married,90,,,Owned with mortgage,48,"3 or more adults, 1–2 children, incl. at least one couple",27,"3 or more adults, no children, incl. at least one couple",20.0,,,Owned outright,18.0,"This cluster comprises older female students, predominantly White British, with a mean age of 28. They show a notable tendency towards homeownership, including some owning outright, and often live in complex households, sometimes with children."
E06000047,County Durham,Student / training,2,Young Female Student Parents,1564,104,24.0,2.2,Female,100,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,80,GCSE etc,63,,,Never married,100,,,Owned with mortgage,61,"3 or more adults, 1–2 children, incl. at least one couple",34,Couple with 2 children,19.0,,,,,"This cluster consists entirely of young, never-married female students, predominantly White British, with a mean age of 24. They are notable for their high rate of mortgage ownership and frequently live in households as couples with two children or other multi-adult arrangements with children."
E06000047,County Durham,Student / training,3,Older Male Student Homeowners,8606,402,27.8,2.1,Male,100,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,86,A-level etc,47,GCSE etc,28.0,Never married,93,,,Owned with mortgage,50,"3 or more adults, 1–2 children, incl. at least one couple",24,"3 or more adults, no children, incl. at least one couple",21.0,,,,,"This is the largest cluster, composed entirely of male students, predominantly White British, with a mean age of 27.8. Many are never married and own their homes with a mortgage, often residing in complex multi-adult households, sometimes with children."
E06000047,County Durham,Student / training,4,Asian Student Family Homeowners,2199,349,26.0,2.2,Female,54,Student / training,100,Asian: Pakistani,38,A-level etc,44,GCSE etc,36.0,Never married,97,,,Owned with mortgage,43,"3 or more adults, 1–2 children, incl. at least one couple",35,"3 or more adults, >2 children, incl. at least one couple",14.0,Asian: Indian,26.0,Owned outright,29.0,"This cluster is distinct for its predominantly Asian demographic, with significant proportions of Pakistani and Indian individuals. They exhibit the highest rate of outright homeownership and frequently live in large, complex households, often with multiple children."
E06000047,County Durham,Student / training,5,Young Male Student Parents,3425,96,24.0,2.0,Male,100,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,91,GCSE etc,55,,,Never married,99,,,Owned with mortgage,53,Couple with 2 children,23,"3 or more adults, 1–2 children, incl. at least one couple",22.0,,,,,"This cluster is made up entirely of young male students, predominantly White British, with a mean age of 24 and excellent health. They are almost all never married, often own their homes with a mortgage, and frequently live as couples with two children or in other multi-adult households with children."
E06000047,County Durham,Unemployed,1,Middle-Aged Asian Families,1680,284,45.7,3.0,Female,55,Unemployed,100,Asian: Pakistani,26,Degree,27,A-level etc,24.0,Never married,45,Married/Civil partner,42.0,Owned with mortgage,34,"3 or more adults, 1–2 children, incl. at least one couple",18,"3 or more adults, no children, incl. at least one couple",14.0,Asian: Bangladeshi,22.0,Local authority rent,21.0,"This cluster comprises middle-aged individuals, predominantly of Pakistani and Bangladeshi descent, often living in larger multi-adult households with or without children. They show a relatively high level of education for an unemployed group."
E06000047,County Durham,Unemployed,2,Older White Male Homeowners,4691,208,57.3,3.2,Male,100,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,89,GCSE etc,25,Degree,23.0,Married/Civil partner,38,Never married,36.0,Owned with mortgage,27,"1 adult under pensionable age, no children",30,"Couple both under pensionable age, no children",17.0,,,Owned outright,26.0,"This group consists exclusively of older working-age White British men, many of whom are homeowners. They typically live in smaller households, either alone or as a couple without children."
E06000047,County Durham,Unemployed,3,Young Single White Men,5013,180,29.6,2.7,Male,99,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,89,GCSE etc,40,A-level etc,27.0,Never married,89,,,Owned with mortgage,35,"3 or more adults, no children, incl. at least one couple",24,"3 or more adults, 1–2 children, incl. at least one couple",22.0,,,Local authority rent,17.0,"This is the youngest and largest cluster, almost exclusively White British men who are overwhelmingly never married. They often reside in multi-adult households, with a mix of educational backgrounds."
