tribe_label,size,Age,Sex (Derived),Sex (Derived) %,Ethnic group,Ethnic group %,Highest qualification,Employment status,Marital status,Marital status %,Housing tenure (Own/Rent),Housing tenure (Own/Rent) %,Composition of household (LFS),Composition of household (LFS) %,Self-rated general health,Self-rated general health %,unit_id,la_name,cluster_level,group,gpt_title,gpt_description
Employed 1,42762,45.7,Male,61,White,77,2.1,Employed: 100%,Married/Civil partner,75,Owner-occupied,70,"Couple, no children",29,Very good,38,E09000019,Islington,national,Employed,Older Married Male Couples,"This cluster features older employed males (average age 45.7) who are predominantly married or in civil partnerships (75%), with a strong tendency to live as couples without children (29%). They are more likely to be white (77%) and owner-occupiers (70%), with slightly lower qualifications (2.1) than the employed group baseline. Their self-rated health is very good (38%), exceeding the group average, highlighting a relatively healthy, stable, and established demographic compared to both the total employed population and other clusters."
Inactive 1,1963,50.3,Female,57,White,78,3.7,Inactive: 100%,Married/Civil partner,78,Rented,62,"Couple, no children",28,Poor,42,E09000019,Islington,national,Inactive,Middle-Aged Married Women Renters,"This inactive cluster is characterized by middle-aged females (57%) averaging 50.3 years old, predominantly white (78%) and married or in civil partnerships (78%), a striking contrast to the inactive group baseline dominated by never married individuals. They mostly rent their homes (62%) and live as couples without children (28%). Despite their marital status, they report poor health (42%), which is a defining feature compared to other inactive clusters, indicating a group that is married but experiencing health challenges and renting rather than owning."
Retired 1,9655,77.7,Female,60,White,87,4.1,Retired: 100%,Widowed/surviving civil partner,42,Owner-occupied,51,"1 adult, no children",73,Good,34,E09000019,Islington,national,Retired,Widowed Elderly Solo Owners,"This retired cluster consists mainly of older females (60%) with an average age of 77.7, predominantly white (87%), and distinguished by a high proportion widowed or surviving civil partners (42%), contrasting with the mostly married retired baseline. Most live alone (73%) in owner-occupied homes (51%), with higher qualifications (4.1) than the retired baseline. Their self-rated health is generally good (34%) but reflects typical age-related decline. This cluster stands out as older, more often widowed, living solo homeowners with relatively higher education."
Inactive 2,6746,48.3,Male,52,White,82,3.8,Inactive: 100%,Never married,71,Rented,78,"1 adult, no children",34,Poor,49,E09000019,Islington,national,Inactive,Single Middle-Aged Male Renters,"This inactive cluster is mostly single, middle-aged males (52%) averaging 48.3 years, predominantly white (82%), who are mostly never married (71%) and live alone without children (34%). They overwhelmingly rent their homes (78%) and exhibit poor self-rated health (49%), worse than both the inactive group baseline and the other inactive cluster. Their qualifications (3.8) are on par with the inactive baseline. This cluster is distinctive for its single, renting males with poor health, contrasting with the more married inactive cluster."
Employed 2,42034,41.4,Female,55,White,70,2.4,Employed: 100%,Never married,77,Rented,55,"1 adult, no children",33,Good,37,E09000019,Islington,national,Employed,Young Single Female Renters,"This employed cluster is younger (average age 41.4), predominantly female (55%), mostly white (70%), and largely never married (77%). They primarily rent housing (55%) and live alone without children (33%). Their qualifications (2.4) are slightly higher than the employed 1 cluster but lower than the group baseline. Their self-rated health is good (37%), lower than the employed 1 cluster's very good rating. This cluster represents younger, single, renting females with moderate qualifications, contrasting with the older, married, owner-occupier employed cluster."
Retired 2,7680,74.6,Male,58,White,94,3.2,Retired: 100%,Married/Civil partner,93,Owner-occupied,87,"Couple, no children",83,Good,37,E09000019,Islington,national,Retired,Married Male Owner Couples,"This retired cluster features mostly males (58%) with a slightly younger average age (74.6) than retired 1, predominantly white (94%), and overwhelmingly married or in civil partnerships (93%). They typically live as couples without children (83%) in owner-occupied housing (87%), with qualifications (3.2) lower than retired 1. Their self-rated health is good (37%), slightly better than retired 1. This cluster is distinguished by male-dominated, married, owner-occupier couples with stable living arrangements and good health."
On leave,4792,42.6,Female,92,White,64,3.2,On leave: 100%,Married/Civil partner,51,Rented,62,"1 adult, 2+ children",19,Good,35,E09000019,Islington,national,On leave,Married Female Renters with Children,"This cluster consists almost entirely of females (92%) on leave, averaging 42.6 years, mostly white (64%), and predominantly married or in civil partnerships (51%). They mainly rent their homes (62%) and often live in single-adult households with two or more children (19%), a unique composition within the employment groups. Their qualifications (3.2) mirror the group baseline, and their self-rated health is mostly good (35%). This cluster stands out due to its female majority, family composition with children, renting status, and being on leave."
Student,3119,26.7,Female,60,White,56,2.8,Student / training: 100%,Never married,94,Owner-occupied,58,"3+ adults (incl. couple), no children",31,Very good,38,E09000019,Islington,national,Student,Young Single Multi-Ethnic Households,"This student cluster is young (average age 26.7), majority female (60%), and ethnically diverse (56% white with significant Pakistani/Bangladeshi and African representation). They are almost exclusively never married (94%) and live mostly in larger households with three or more adults and no children (31%). They tend to be owner-occupiers (58%) with moderate qualifications (2.8) and report very good health (38%). This cluster is distinctive for its youth, ethnic diversity, single status, and communal living arrangements."
Unemployed 1,4776,37.9,Female,52,White,56,3.5,Unemployed: 100%,Never married,100,Rented,63,"1 adult, no children",23,Good,41,E09000019,Islington,national,Unemployed,Young Single Female Renters,"This unemployed cluster comprises younger females (52%) averaging 37.9 years, all never married, predominantly white (56%), renting homes (63%), and mostly living alone without children (23%). Their qualifications (3.5) are somewhat lower than the unemployed baseline, and they report better self-rated health (41%) than the group average. This cluster is distinctive for its youth, single female renters with relatively better health among the unemployed groups."
Unemployed 2,3645,49.0,Male,51,White,57,3.9,Unemployed: 100%,Married/Civil partner,50,Rented,76,"3+ adults (incl. couple), no children",17,Good,32,E09000019,Islington,national,Unemployed,Older Married Male Renters,"This cluster includes older males (51%) averaging 49 years, mostly white (57%), and predominantly married or in civil partnerships (50%). They tend to rent (76%) and live in larger households with three or more adults and no children (17%). Their qualifications (3.9) are the highest among unemployed clusters, but their self-rated health is lower (32%) compared to Unemployed 1. This cluster is distinctive for its older, married males renting in multi-adult households with relatively high qualifications but lower health."
Employed 1,50334,47.9,Male,71,White,40,2.5,Employed: 100%,Married/Civil partner,88,Owner-occupied,63,"Couple, 2 children",25,Good,40,E09000025,Newham,national,Employed,Married White Male Owners,"This cluster consists predominantly of older employed males (age 47.9) who are mostly White (40%) and married/civil partners (88%), significantly higher than the employed group baseline (53%). They have a slightly lower qualification level (2.5) than the employed average (2.6), but a higher rate of home ownership (63% vs 54% employed baseline). Household composition is mainly couples with two children (25%), much more than the employed group average (14%). Their self-rated health is good at 40%, slightly above the employed baseline. This cluster stands out for stable family households, male dominance, and home ownership compared to both the total employed population and other employed clusters."
Retired 1,9777,77.6,Female,62,White,59,4.5,Retired: 100%,Widowed/surviving civil partner,43,Rented,50,"1 adult, no children",58,Good,37,E09000025,Newham,national,Retired,Widowed Renting Older Females,"This retired cluster is characterized by older females (62% female, age 77.6) predominantly White (59%) who are widowed or surviving civil partners (43%), a much higher widowed rate than the retired baseline (24%). They live mostly alone (58% single adult households) and rent their homes (50%), contrasting with the retired group baseline that is mostly owner-occupied (64%) and includes more married couples. Their highest qualifications are slightly above the retired average (4.5 vs 4.2). Self-rated health is good but not exceptional (37%). This cluster is distinctive for its older widowed females living alone in rented accommodation, differing from other retired groups who are more likely married and homeowners."
Employed 2,39540,42.7,Female,51,White,36,2.7,Employed: 100%,Never married,68,Rented,56,"3+ adults (no couple), no children",27,Very good,38,E09000025,Newham,national,Employed,Younger Single Female Renters,"This cluster mainly consists of younger employed females (age 42.7, 51% female) with a White majority (36%) and a high proportion never married (68%), considerably above the employed group baseline (30%). They rent their homes at a higher rate (56% vs 45%), and most live in larger households without couples but with three or more adults and no children (27%), doubling the employed average for this composition. Their qualifications (2.7) and self-rated very good health (38%) are slightly higher than employed averages. This cluster is defined by younger, single females living in rented, multi-adult non-couple households with very good health, contrasting with the older, married, homeowner Employed 1 cluster."
Inactive 2,5059,47.8,Male,52,White,58,4.0,Inactive: 100%,Never married,68,Rented,69,"3+ adults (no couple), no children",30,Poor,49,E09000025,Newham,national,Inactive,Single Poor Health Renters,"This inactive cluster is composed primarily of middle-aged males (age 47.8, 52% male) predominantly White (58%), who are mostly never married (68%) and living in rented accommodation at a very high rate (69%). Their household composition is dominated by three or more adults without couples or children (30%). Notably, they report poor health at a very high rate (49%), surpassing the inactive group baseline of 45%. Educational attainment matches the inactive average (4). This cluster stands out for poor self-rated health, single status, and multi-adult non-couple rented households compared to other inactive and employed groups."
Inactive 1,2721,50.6,Male,54,Pakistani / Bangladeshi,39,4.0,Inactive: 100%,Married/Civil partner,90,Rented,55,"3+ adults (incl. couple), 1–2 children",31,Poor,39,E09000025,Newham,national,Inactive,Married Pakistani Renters With Kids,"This inactive cluster is mainly middle-aged males (age 50.6, 54% male) who are predominantly Pakistani/Bangladeshi (39%) and overwhelmingly married or in civil partnerships (90%), which is much higher than the inactive baseline (32%). They typically live in rented homes (55%) with larger households that include three or more adults with couples and 1–2 children (31%). Their qualifications (4) align with the inactive group's average, but their self-rated health is poor (39%), better than the inactive 2 cluster but still notable. This group is distinctive for its ethnic composition, marital stability, and family-oriented household structure within the inactive population."
Retired 2,8028,75.9,Male,60,White,65,3.7,Retired: 100%,Married/Civil partner,95,Owner-occupied,82,"Couple, no children",68,Good,38,E09000025,Newham,national,Retired,Married Male Homeowners,"This retired cluster is composed mostly of males (60%) aged 75.9, predominantly White (65%), with a very high marriage/civil partner rate (95%), exceeding the retired baseline (44%). They overwhelmingly own their homes (82%) and live as couples without children (68%), which is a much higher concentration than the retired average. Their qualifications are slightly lower than the retired average (3.7 vs 4.2), and their self-rated health is good at 38%. This cluster is distinctive for married older males in stable, owner-occupied couple households, contrasting with the widowed and renting Retired 1 cluster."
Unemployed 1,6174,37.9,Male,55,Pakistani / Bangladeshi,41,3.6,Unemployed: 100%,Never married,100,Rented,51,"3+ adults (no couple), no children",27,Good,43,E09000025,Newham,national,Unemployed,Young Single Pakistani Males,"This unemployed cluster comprises younger individuals (age 37.9), predominantly male (55%) and Pakistani/Bangladeshi (41%). All members are never married (100%), which is higher than the unemployed baseline (46%). They mostly rent their homes (51%) and live in multi-adult households without couples or children (27%). Qualifications (3.6) are below the unemployed average (4), and self-rated health is good (43%). This cluster is distinct for its youthful, single, male Pakistani composition living in rented shared accommodation, differing from the older, more married Unemployed 2 group."
Student,4758,26.7,Female,61,Pakistani / Bangladeshi,41,3.1,Student / training: 100%,Never married,91,Owner-occupied,54,"3+ adults (incl. couple), 1–2 children",28,Very good,36,E09000025,Newham,national,Student,Young Female Pakistani Students,"This cluster consists of young students (age 26.7) predominantly female (61%) and Pakistani/Bangladeshi (41%) with high rates of never married status (91%). They mostly live in owner-occupied homes (54%), often in larger households with three or more adults including couples and 1–2 children (28%). Their qualifications (3.1) and self-rated health (very good at 36%) align with the student baseline. This cluster stands out for young, unmarried female Pakistani students living in family-oriented owner-occupied households, distinguishing it from older or employed clusters."
On leave,6531,46.5,Female,93,Pakistani / Bangladeshi,41,3.9,On leave: 100%,Married/Civil partner,68,Rented,57,"3+ adults (incl. couple), 1–2 children",21,Good,37,E09000025,Newham,national,On leave,Married Female Pakistani Renters,"This cluster is characterized by middle-aged females (age 46.5, 93% female) predominantly Pakistani/Bangladeshi (41%), mostly married or in civil partnerships (68%). They live primarily in rented accommodation (57%) and in larger households with three or more adults including couples and 1–2 children (21%). Their qualifications (3.9) and self-rated health (good at 37%) are consistent with the on-leave group baseline. This cluster is distinctive for highly female, married Pakistani individuals on leave living in rented, family-oriented households."
Unemployed 2,7268,53.6,Female,58,Pakistani / Bangladeshi,51,4.3,Unemployed: 100%,Married/Civil partner,69,Rented,71,"3+ adults (incl. couple), no children",23,Good,41,E09000025,Newham,national,Unemployed,Older Married Pakistani Renters,"This unemployed cluster is older (age 53.6) and predominantly female (58%), with a strong Pakistani/Bangladeshi majority (51%). They have a high rate of marriage/civil partnership (69%) and live mostly in rented homes (71%). Their household composition commonly includes three or more adults without couples or children (23%). Qualifications are relatively high (4.3), surpassing the unemployed average, and self-rated health remains good (41%). This group stands out for older, married Pakistani females renting and living in multi-adult non-couple households, differing from the younger, single Unemployed 1 cluster."
Employed 2,37567,41.3,Female,51,White,59,2.5,Employed: 100%,Never married,75,Rented,57,"1 adult, no children",31,Good,36,E09000030,Tower Hamlets,national,Employed,Young Single Female Renters,"This cluster is distinctive within the employed group for its younger average age (41.3 vs 44) and a slight female majority (51%) compared to the group baseline male majority (58%). They are predominantly White (59%) but slightly less so than the group average (61%), with a lower average qualification level (2.5 vs 2.4). Most are never married (75% vs 34%) and live alone without children (31% vs 15%), renting their homes (57% vs 45% in total population), which contrasts with the group baseline where more own homes. Their self-rated health is good but slightly below the group average (36% vs 38%). This cluster stands out as younger, more single females renting and living alone compared to other employed clusters."
Unemployed 1,5317,38.0,Male,56,White,43,3.6,Unemployed: 100%,Never married,100,Rented,60,"3+ adults (no couple), no children",20,Good,40,E09000030,Tower Hamlets,national,Unemployed,Young Single Male Renters,"This cluster is characterized by younger age (38 vs 44.1), a strong male majority (56% vs 50% female in overall unemployed), and all never married (100% vs 50%). They have relatively high qualifications (3.6 vs 4 in unemployed group baseline) and are mostly White (43% vs 39%), renting homes at a high rate (60% vs 68%). Household composition is mainly 3+ adults with no couple and no children (20%), differing from the usual 3+ adults with children for unemployed. Their self-rated health is good (40% vs 37%), better than the group baseline. This cluster stands out as young, single males renting in multi-adult non-couple households with relatively good health."
Employed 1,45977,46.2,Male,65,White,63,2.3,Employed: 100%,Married/Civil partner,80,Owner-occupied,65,"Couple, no children",24,Good,39,E09000030,Tower Hamlets,national,Employed,Mature Married Male Owners,"This cluster represents older employed individuals (46.2 vs 44), strongly male (65% vs 58%), predominantly White (63% vs 61%), with low qualifications (2.3 vs 2.4). Most are married or in civil partnerships (80% vs 46%) and own their homes (65% vs 55%), living mainly as couples without children (24%). Their self-rated health is good (39% vs 38%). Compared to other employed clusters, they are older, more male, more married, home-owning, and living as childless couples, highlighting a stable employed demographic."
On leave,5619,44.4,Female,93,White,48,3.6,On leave: 100%,Married/Civil partner,60,Rented,65,"1 adult, 2+ children",15,Good,41,E09000030,Tower Hamlets,national,On leave,Married Female Renters with Kids,"This cluster matches the on-leave group baseline closely but is distinctive for a very high female majority (93%), middle age (44.4), and a predominance of married or civil partnered individuals (60%). They mostly rent (65%) and live in households with one adult and two or more children (15%), suggesting caregiving responsibilities. Their ethnic composition is mostly White (48%) with substantial Pakistani/Bangladeshi (33%). Their qualifications are moderately high (3.6), and self-rated health is good (41%). This cluster stands out for its combination of female dominance, family caregiving households, renting tenure, and relatively good health during leave."
Retired 2,6597,74.4,Male,62,White,87,3.4,Retired: 100%,Married/Civil partner,93,Owner-occupied,82,"Couple, no children",80,Good,37,E09000030,Tower Hamlets,national,Retired,Married Older Male Homeowners,"This retired cluster is older (74.4), predominantly male (62%) compared to the overall retired group split, and overwhelmingly White (87%). They have moderate qualifications (3.4) and are almost all married or in civil partnerships (93%), living mainly as couples without children (80%) who own their homes at a very high rate (82%). Their self-rated health is good (37%). This cluster contrasts with the other retired cluster by its stronger marriage, male dominance, home ownership, and couple household composition, reflecting stable older male retirees."
Inactive 2,6346,47.9,Male,53,White,72,3.9,Inactive: 100%,Never married,69,Rented,78,"1 adult, no children",29,Poor,52,E09000030,Tower Hamlets,national,Inactive,Single Middle-aged Male Renters,"This inactive cluster is middle-aged (47.9), slightly male-dominant (53%), predominantly White (72%) with relatively high qualifications (3.9). They are mostly never married (69%) and primarily rent (78%), living alone without children (29%), which is higher than the inactive group baseline. Their self-rated health is poor (52%), worse than the inactive baseline. This cluster is distinctive for its combination of single, renting, middle-aged males living alone with poor health."
Retired 1,7723,77.3,Female,60,White,80,4.4,Retired: 100%,Widowed/surviving civil partner,45,Rented,57,"1 adult, no children",69,Good,33,E09000030,Tower Hamlets,national,Retired,Widowed Older Female Renters,"This retired cluster is older (77.3), majority female (60%), predominantly White (80%), with higher qualifications (4.4). Nearly half are widowed or surviving civil partners (45%), and most live alone without children (69%), renting homes (57%). Their self-rated health is good but slightly lower (33%). This cluster differs from the other retired cluster by being older, female, widowed, renting, and living alone, indicating a more vulnerable elderly demographic."
Student,3082,26.9,Female,61,White,37,3.0,Student / training: 100%,Never married,90,Owner-occupied,55,"3+ adults (incl. couple), 1–2 children",25,Good,35,E09000030,Tower Hamlets,national,Student,Young Single Female Multi-Adult Households,"This student cluster is young (26.9), female-dominant (61%), ethnically mixed but primarily White (37%) and Pakistani/Bangladeshi (35%). They have moderate qualifications (3), are overwhelmingly never married (90%), and mostly live in owner-occupied homes (55%). Their household composition is notable for large, multi-adult households with children (25% in 3+ adults with 1-2 children). Self-rated health is good (35%). This cluster stands out from other employment groups for its youth, female majority, mixed ethnicity, multi-generational households, and student status."
Unemployed 2,5256,50.4,Female,57,Pakistani / Bangladeshi,43,4.3,Unemployed: 100%,Married/Civil partner,62,Rented,77,"3+ adults (incl. couple), 1–2 children",19,Good,35,E09000030,Tower Hamlets,national,Unemployed,Middle-aged Married Pakistani Renters,"This unemployed cluster is older (50.4 vs 44.1), majority female (57%), and predominantly Pakistani/Bangladeshi (43%) compared to the unemployed baseline which is 38%. They have high qualifications (4.3), with most married or in civil partnerships (62%) and living in rented accommodation (77%). Their household composition mainly involves multi-adult households with children (19%). Their self-rated health is good (35%). This cluster contrasts with the younger, single unemployed cluster by ethnicity, marital status, and older age, highlighting a settled, married Pakistani unemployed group."
Inactive 1,2380,49.5,Female,55,White,63,4.0,Inactive: 100%,Married/Civil partner,82,Rented,61,"Couple, no children",24,Poor,40,E09000030,Tower Hamlets,national,Inactive,Married Female Renters Couples,"This inactive cluster is middle-aged (49.5), majority female (55%), predominantly White (63%) with high qualifications (4). Most are married or in civil partnerships (82%), renting homes (61%), and living as couples without children (24%). Their self-rated health is poor (40%) but better than the inactive group baseline. This cluster is distinctive for combining marriage, female majority, renting, and couple household composition within inactivity, differing from the single, male-dominant inactive cluster."
