tribe_label,size,Age,Sex (Derived),Sex (Derived) %,Ethnic group,Ethnic group %,Highest qualification,Employment status,Marital status,Marital status %,Housing tenure (Own/Rent),Housing tenure (Own/Rent) %,Composition of household (LFS),Composition of household (LFS) %,Self-rated general health,Self-rated general health %,unit_id,la_name,cluster_level,group
Embedding 3,8342,1949.1,Female,100,White,99,4.9,Retired: 96% | Employed: 1% | Inactive: 1%,Married/Civil partner,35,Owner-occupied,62,"1 adult, 1 child",48,Good,34,E09000019,Islington,LA,Embedding
Embedding 9,5648,1978.1,Female,51,Pakistani / Bangladeshi,64,2.3,2.0: 60% | Employed: 12% | Unemployed: 10%,Never married,42,Rented,31,22.0,16,Very good,35,E09000019,Islington,LA,Embedding
Embedding 12,3596,1984.8,Female,59,11.0,100,3.8,2.0: 49% | Unemployed: 14% | Employed: 9%,Married/Civil partner,49,Other,30,20.0,21,Good,34,E09000019,Islington,LA,Embedding
Embedding 9,10630,1981.1,Male,100,White,100,2.6,2.0: 81% | Employed: 13% | Unemployed: 2%,Married/Civil partner,69,Rented,60,"3+ adults (incl. couple), 1–2 children",33,Very good,40,E09000025,Newham,LA,Embedding
Embedding 6,6114,1948.5,Female,100,White,98,5.3,Retired: 93% | Inactive: 2% | 2.0: 1%,Married/Civil partner,36,Owner-occupied,59,"1 adult, 1 child",45,Good,35,E09000025,Newham,LA,Embedding
Embedding 11,10118,1989.6,Female,100,White,100,2.6,2.0: 67% | Employed: 8% | Unemployed: 8%,Never married,48,Rented,37,"3+ adults (incl. couple), 1–2 children",17,Very good,38,E09000025,Newham,LA,Embedding
Embedding 5,7316,1968.2,Female,100,White,100,3.5,2.0: 66% | Inactive: 12% | Employed: 8%,Married/Civil partner,39,Rented,33,19.0,16,Good,37,E09000025,Newham,LA,Embedding
Embedding 10,6687,1966.5,Male,100,White,100,4.1,2.0: 52% | Inactive: 18% | Employed: 17%,Married/Civil partner,43,Owner-occupied,30,"1 adult, 2+ children",25,Good,31,E09000025,Newham,LA,Embedding
Embedding 8,26453,1976.7,Male,64,Other,80,3.1,2.0: 63% | Employed: 11% | Retired: 9%,Married/Civil partner,60,Rented,47,22.0,22,Very good,35,E09000025,Newham,LA,Embedding
Embedding 1,4763,1974.5,Female,53,Pakistani / Bangladeshi,52,2.8,2.0: 55% | Retired: 14% | Unemployed: 12%,Married/Civil partner,42,6.0,36,19.0,17,Very good,33,E09000025,Newham,LA,Embedding
Embedding 7,23972,1978.1,Female,56,15.0,39,3.3,2.0: 59% | Unemployed: 10% | Retired: 10%,Never married,48,4.0,25,19.0,12,Good,43,E09000025,Newham,LA,Embedding
Embedding 4,5987,1994.6,Male,100,White,99,3.1,2.0: 64% | Inactive: 12% | Unemployed: 10%,Never married,84,Rented,35,22.0,30,Very good,38,E09000025,Newham,LA,Embedding
Embedding 3,20733,1982.1,Male,59,10.0,100,4.0,2.0: 46% | Unemployed: 19% | Employed: 11%,Married/Civil partner,59,Rented,35,20.0,27,Good,38,E09000025,Newham,LA,Embedding
Embedding 2,5206,1949.2,Male,100,White,99,4.9,Retired: 94% | Employed: 4% | 2.0: 1%,Married/Civil partner,56,Owner-occupied,63,"2 adults (not a couple), no children",47,Good,39,E09000025,Newham,LA,Embedding
Embedding 12,13361,1979.8,Female,53,11.0,100,4.5,2.0: 43% | Unemployed: 17% | Employed: 11%,Married/Civil partner,62,Other,31,20.0,28,Good,36,E09000025,Newham,LA,Embedding
Embedding 1,7479,1965.6,Male,100,White,100,4.1,2.0: 50% | Inactive: 23% | Employed: 14%,Married/Civil partner,36,Owner-occupied,30,"1 adult, 2+ children",31,Good,29,E09000030,Tower Hamlets,LA,Embedding
Embedding 4,13848,1992.7,Female,100,White,100,2.5,2.0: 69% | Unemployed: 7% | Employed: 7%,Never married,56,Rented,36,"1 adult, 2+ children",17,Very good,38,E09000030,Tower Hamlets,LA,Embedding
Embedding 8,9343,1982.6,Female,58,15.0,35,2.9,2.0: 64% | Unemployed: 9% | Employed: 6%,Never married,60,4.0,27,22.0,13,Good,40,E09000030,Tower Hamlets,LA,Embedding
Embedding 2,6379,1966.5,Female,100,White,100,3.9,2.0: 54% | Inactive: 26% | Unemployed: 7%,Married/Civil partner,30,Other,27,"1 adult, 2+ children",21,Good,30,E09000030,Tower Hamlets,LA,Embedding
Embedding 5,11460,1976.7,Male,100,White,100,2.6,2.0: 80% | Employed: 12% | Inactive: 2%,Married/Civil partner,65,Rented,55,"3+ adults (incl. couple), 1–2 children",25,Good,40,E09000030,Tower Hamlets,LA,Embedding
Embedding 6,6084,1950.5,Male,100,White,99,4.6,Retired: 96% | Employed: 3% | 2.0: 1%,Married/Civil partner,56,Owner-occupied,60,"2 adults (not a couple), no children",48,Good,37,E09000030,Tower Hamlets,LA,Embedding
Embedding 9,5967,1948.9,Female,100,White,99,5.3,Retired: 98% | Employed: 1% | Inactive: 1%,Married/Civil partner,34,Owner-occupied,56,"1 adult, 1 child",49,Good,34,E09000030,Tower Hamlets,LA,Embedding
Embedding 12,8087,1977.3,Female,100,White,100,2.5,2.0: 77% | 6.0: 10% | Employed: 8%,Married/Civil partner,51,Rented,51,"3+ adults (incl. couple), 1–2 children",21,Good,39,E09000030,Tower Hamlets,LA,Embedding
Embedding 11,21807,1982.9,Male,51,10.0,51,4.2,2.0: 45% | Unemployed: 18% | Employed: 11%,Married/Civil partner,56,Other,27,20.0,23,Good,38,E09000030,Tower Hamlets,LA,Embedding
Embedding 3,15243,1979.4,Male,62,Other,76,2.8,2.0: 67% | Employed: 10% | Unemployed: 7%,Married/Civil partner,55,Rented,47,22.0,18,Good,36,E09000030,Tower Hamlets,LA,Embedding
Embedding 10,14389,1992.2,Male,100,White,100,2.6,2.0: 75% | Unemployed: 9% | Inactive: 6%,Never married,55,Rented,43,"Couple, 2 children",17,Very good,38,E09000030,Tower Hamlets,LA,Embedding
Embedding 7,6475,1979.5,Female,53,Pakistani / Bangladeshi,52,2.8,2.0: 63% | Unemployed: 14% | Employed: 10%,Married/Civil partner,50,Rented,25,19.0,26,Good,37,E09000030,Tower Hamlets,LA,Embedding
